Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
Yemen,0,,,,,,,Ukraine
,2016,,5.07,5.07,286,,,,Ukraine
850110 -Motors of an output not exceeding 37.5 W,,5.00,5.00,1,,,,Ukraine
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,5.00,5.00,1,,,,Ukraine
850131 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,Ukraine
850132 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,Ukraine
850133 -- Of an output exceeding 75 kW but not exceeding 375 kW,,5.00,5.00,1,,,,Ukraine
850134 -- Of an output exceeding 375 kW,,5.00,5.00,2,,,,Ukraine
"850140 - Other AC motors, single-phase",,5.00,5.00,1,,,,Ukraine
850151 -- Of an output not exceeding 750 W,,5.00,5.00,1,,,,Ukraine
850152 -- Of an output exceeding 750 W but not exceeding 75 kW,,5.00,5.00,1,,,,Ukraine
850153 -- Of an output exceeding 75 kW,,5.00,5.00,2,,,,Ukraine
850161 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,Ukraine
850162 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,Ukraine
850163 -- Of an output exceeding 375 kVA but not exceeding 750 kVA,,5.00,5.00,1,,,,Ukraine
850164 -- Of an output exceeding 750 kVA,,5.00,5.00,1,,,,Ukraine
850211 -- Of an output not exceeding 75 kVA,,5.00,5.00,1,,,,Ukraine
850212 -- Of an output exceeding 75 kVA but not exceeding 375 kVA,,5.00,5.00,1,,,,Ukraine
850213 -- Of an output exceeding 375 kVA,,5.00,5.00,2,,,,Ukraine
850220 - Generating sets with spark-ignition internal combustion piston engines,,5.00,5.00,2,,,,Ukraine
850231 -- Wind-powered,,5.00,5.00,2,,,,Ukraine
850239 -- Other,,5.00,5.00,2,,,,Ukraine
850240 - Electric rotary converters,,5.00,5.00,1,,,,Ukraine
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,5.00,5.00,2,,,,Ukraine
850410 - Ballasts for discharge lamps or tubes,,5.00,5.00,1,,,,Ukraine
850421 -- Having a power handling capacity not exceeding 650 kVA,,5.00,5.00,1,,,,Ukraine
"850422 -- Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,5.00,5.00,2,,,,Ukraine
"850423 -- Having a power handling capacity exceeding 10,000 kVA",,5.00,5.00,1,,,,Ukraine
850431 -- Having a power handling capacity not exceeding 1 kVA,,5.00,5.00,1,,,,Ukraine
850432 -- Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,5.00,5.00,1,,,,Ukraine
850433 -- Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,5.00,5.00,1,,,,Ukraine
850434 -- Having a power handling capacity exceeding 500 kVA,,5.00,5.00,2,,,,Ukraine
850440 - Static converters,,5.00,5.00,1,,,,Ukraine
850450 - Other inductors,,5.00,5.00,1,,,,Ukraine
850490 - Parts,,5.00,5.00,2,,,,Ukraine
850511 -- Of metal,,5.00,5.00,1,,,,Ukraine
850519 -- Other,,5.00,5.00,1,,,,Ukraine
"850520 - Electro-magnetic couplings, clutches and brakes",,5.00,5.00,1,,,,Ukraine
"850590 - Other, including parts",,5.00,5.00,1,,,,Ukraine
850610 -Manganese dioxide,,5.00,5.00,1,,,,Ukraine
850630 -Mercuric oxide,,5.00,5.00,1,,,,Ukraine
850640 - Silver oxide,,5.00,5.00,1,,,,Ukraine
850650 - Lithium,,5.00,5.00,1,,,,Ukraine
850660 - Air-zinc,,5.00,5.00,1,,,,Ukraine
850680 - Other primary cells and primary batteries,,5.00,5.00,1,,,,Ukraine
850690 - Parts,,5.00,5.00,1,,,,Ukraine
"850710 - Lead-acid, of a kind used for starting piston engines",,10.00,10.00,1,,,,Ukraine
850720 - Other lead-acid accumulators,,10.00,10.00,1,,,,Ukraine
850730 - Nickel-cadmium,,10.00,10.00,1,,,,Ukraine
850740 - Nickel-iron,,10.00,10.00,1,,,,Ukraine
850750 - Nickel-metal hydride,,10.00,10.00,1,,,,Ukraine
850760 - Lithium-ion,,10.00,10.00,1,,,,Ukraine
850780 - Other accumulators,,10.00,10.00,1,,,,Ukraine
850790 - Parts,,5.00,5.00,1,,,,Ukraine
"850811 -- Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,5.00,5.00,1,,,,Ukraine
850819 -- Other,,5.00,5.00,1,,,,Ukraine
850860 - Other vacuum cleaners,,5.00,5.00,1,,,,Ukraine
850870 - Parts,,5.00,5.00,1,,,,Ukraine
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,5.00,5.00,1,,,,Ukraine
850980 - Other appliances,,5.00,5.00,1,,,,Ukraine
850990 - Parts,,5.00,5.00,1,,,,Ukraine
851010 - Shavers,,5.00,5.00,1,,,,Ukraine
851020 - Hair clippers,,5.00,5.00,1,,,,Ukraine
851030 - Hair-removing appliances,,5.00,5.00,1,,,,Ukraine
851090 - Parts,,5.00,5.00,1,,,,Ukraine
851110 - Sparking plugs,,5.00,5.00,1,,,,Ukraine
851120 - Ignition magnetos; magneto-dynamos; magnetic flywheels,,5.00,5.00,1,,,,Ukraine
851130 - Distributors; ignition coils,,5.00,5.00,1,,,,Ukraine
851140 - Starter motors and dual purpose starter-generators,,5.00,5.00,1,,,,Ukraine
851150 - Other generators,,5.00,5.00,1,,,,Ukraine
851180 - Other equipment,,5.00,5.00,1,,,,Ukraine
851190 - Parts,,5.00,5.00,1,,,,Ukraine
851210 - Lighting or visual signalling equipment of a kind used on bicycles,,5.00,5.00,1,,,,Ukraine
851220 - Other lighting or visual signalling equipment,,5.00,5.00,1,,,,Ukraine
851230 - Sound signalling equipment,,5.00,5.00,1,,,,Ukraine
"851240 -Windscreen wipers, defrosters and demisters",,5.00,5.00,1,,,,Ukraine
851290 - Parts,,5.00,5.00,1,,,,Ukraine
851310 - Lamps,,5.00,5.00,1,,,,Ukraine
851390 - Parts,,5.00,5.00,1,,,,Ukraine
851410 - Resistance heated furnaces and ovens,,5.00,5.00,1,,,,Ukraine
851420 - Furnaces and ovens functioning by induction or dielectric loss,,5.00,5.00,1,,,,Ukraine
851430 - Other furnaces and ovens,,5.00,5.00,1,,,,Ukraine
851440 - Other equipment for the heat treatment of materials by induction or dielectric loss,,5.00,5.00,1,,,,Ukraine
851490 - Parts,,5.00,5.00,1,,,,Ukraine
851511 -- Soldering irons and guns,,5.00,5.00,1,,,,Ukraine
851519 -- Other,,5.00,5.00,1,,,,Ukraine
851521 -- Fully or partly automatic,,5.00,5.00,1,,,,Ukraine
851529 -- Other,,5.00,5.00,1,,,,Ukraine
851531 -- Fully or partly automatic,,5.00,5.00,1,,,,Ukraine
851539 -- Other,,5.00,5.00,1,,,,Ukraine
851580 - Other machines and apparatus,,5.00,5.00,3,,,,Ukraine
851590 - Parts,,5.00,5.00,3,,,,Ukraine
851610 - Electric instantaneous or storage water heaters and immersion heaters,,5.00,5.00,1,,,,Ukraine
851621 -- Storage heating radiators,,5.00,5.00,1,,,,Ukraine
851629 -- Other,,5.00,5.00,1,,,,Ukraine
851631 -- Hair dryers,,5.00,5.00,1,,,,Ukraine
851632 -- Other hair-dressing apparatus,,5.00,5.00,1,,,,Ukraine
851633 -- Hand-drying apparatus,,5.00,5.00,1,,,,Ukraine
851640 - Electric smoothing irons,,5.00,5.00,1,,,,Ukraine
851650 -Microwave ovens,,5.00,5.00,1,,,,Ukraine
"851660 - Other ovens; cookers, cooking plates, boiling rings, grillers and roasters",,5.00,5.00,1,,,,Ukraine
851671 -- Coffee or tea makers,,5.00,5.00,1,,,,Ukraine
851672 -- Toasters,,5.00,5.00,1,,,,Ukraine
851679 -- Other,,5.00,5.00,1,,,,Ukraine
851680 - Electric heating resistors,,5.00,5.00,1,,,,Ukraine
851690 - Parts,,5.00,5.00,1,,,,Ukraine
851711 -- Line telephone sets with cordless handsets,,5.00,5.00,1,,,,Ukraine
851712 -- Telephones for cellular networks or for other wireless networks,,5.00,5.00,1,,,,Ukraine
851718 -- Other,,5.00,5.00,1,,,,Ukraine
851761 -- Base stations,,5.00,5.00,1,,,,Ukraine
"851762 -- Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus",,5.00,5.00,1,,,,Ukraine
851769 -- Other,,5.00,5.00,1,,,,Ukraine
851770 - Parts,,5.00,5.00,1,,,,Ukraine
851810 -Microphones and stands therefor,,5.00,5.00,1,,,,Ukraine
"851821 -- Single loudspeakers, mounted in their enclosures",,5.00,5.00,1,,,,Ukraine
"851822 -- Multiple loudspeakers, mounted in the same enclosure",,5.00,5.00,1,,,,Ukraine
851829 -- Other,,5.00,5.00,1,,,,Ukraine
"851830 - Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers",,5.00,5.00,1,,,,Ukraine
851840 - Audio-frequency electric amplifiers,,5.00,5.00,1,,,,Ukraine
851850 - Electric sound amplifier sets,,5.00,5.00,1,,,,Ukraine
851890 - Parts,,5.00,5.00,2,,,,Ukraine
"851920 - Apparatus operated by coins, banknotes, bank cards, tokens or by other means of payment",,5.00,5.00,1,,,,Ukraine
851930 -Turntables (record-decks),,5.00,5.00,1,,,,Ukraine
851950 -Telephone answering machines,,5.00,5.00,1,,,,Ukraine
"851981 -- Using magnetic, optical or semiconductor media",,5.00,5.00,1,,,,Ukraine
851989 -- Other,,5.00,5.00,1,,,,Ukraine
852110 -Magnetic tape-type,,5.00,5.00,1,,,,Ukraine
852190 - Other,,5.00,5.00,1,,,,Ukraine
852210 - Pick-up cartridges,,5.00,5.00,1,,,,Ukraine
852290 - Other,,5.00,5.00,2,,,,Ukraine
852321 -- Cards incorporating a magnetic stripe,,5.00,5.00,1,,,,Ukraine
852329 -- Other,,5.00,5.00,1,,,,Ukraine
852341 -- Unrecorded,,5.00,5.00,1,,,,Ukraine
852349 -- Other,,5.00,5.00,1,,,,Ukraine
852351 -- Solid-state non-volatile storage devices,,5.00,5.00,1,,,,Ukraine
852352 -- «Smart cards»,,5.00,5.00,1,,,,Ukraine
852359 -- Other,,5.00,5.00,1,,,,Ukraine
852380 - Other,,5.00,5.00,1,,,,Ukraine
852550 -Transmission apparatus,,5.00,5.00,1,,,,Ukraine
852560 -Transmission apparatus incorporating reception apparatus,,5.00,5.00,1,,,,Ukraine
"852580 -Television cameras, digital cameras and video camera recorders",,5.00,5.00,1,,,,Ukraine
852610 - Radar apparatus,,5.00,5.00,1,,,,Ukraine
852691 -- Radio navigational aid apparatus,,5.00,5.00,1,,,,Ukraine
852692 -- Radio remote control apparatus,,5.00,5.00,1,,,,Ukraine
852712 -- Pocket-size radio cassette-players,,5.00,5.00,1,,,,Ukraine
852713 -- Other apparatus combined with sound recording or reproducing apparatus,,5.00,5.00,1,,,,Ukraine
852719 -- Other,,5.00,5.00,1,,,,Ukraine
852721 -- Combined with sound recording or reproducing apparatus,,5.00,5.00,1,,,,Ukraine
852729 -- Other,,5.00,5.00,1,,,,Ukraine
