Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
Yemen,0,,,,,,,"Saudi Arabia, Kingdom of"
,2016,,6.39,6.39,230,,,,"Saudi Arabia, Kingdom of"
390110 - Polyethylene having a specific gravity of less than 0.94,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390120 - Polyethylene having a specific gravity of 0.94 or more,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390130 - Ethylene-vinyl acetate copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390190 - Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390210 - Polypropylene,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390220 - Polyisobutylene,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390230 - Propylene copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390290 - Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390311 -- Expansible,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390319 -- Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390320 - Styrene-acrylonitrile (SAN) copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390390 - Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
"390410 - Poly(vinyl chloride), not mixed with any other substances",,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390421 -- Non-plasticised,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390422 -- Plasticised,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390430 - Vinyl chloride-vinyl acetate copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390440 - Other vinyl chloride copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390450 - Vinylidene chloride polymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390461 -- Polytetrafluoroethylene,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390469 -- Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390490 - Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390512 -- In aqueous dispersion,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390519 -- Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390521 -- In aqueous dispersion,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390529 -- Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390591 -- Copolymers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390599 -- Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390610 - Poly(methyl methacrylate),,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390690 - Other,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390710 - Polyacetals,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390720 - Other polyethers,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390730 - Epoxide resins,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390740 - Polycarbonates,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
390750 - Alkyd resins,,5.00,5.00,2,,,,"Saudi Arabia, Kingdom of"
