Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"1,543,810,163",,,,,,,China
,2018,,5.34,5.34,171,162,,,China
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,China
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,China
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,China
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,China
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,China
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,China
040229 - - Other,,,,5,5,,,China
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,China
040299 - - Other,,,,5,5,,,China
040310 - Yogurt,,,,12,12,,,China
040390 - Other,,,,18,18,,,China
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,China
040490 - Other,,,,6,6,,,China
040510 - Butter,,,,5,5,,,China
040520 - Dairy spreads,,,,3,3,,,China
040590 - Other,,,,2,2,,,China
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,China
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,China
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,China
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,China
040690 - Other cheese,,,,32,32,,,China
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,China
040719 - - Other,,7.70,7.70,3,2,,,China
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,China
040729 - - Other,,7.70,7.70,2,1,,,China
040790 - Others,,7.70,7.70,2,1,,,China
040811 - - Dried,,0.00,0.00,2,1,,,China
040819 - - Other,,0.00,0.00,3,2,,,China
040891 - - Dried,,0.00,0.00,2,1,,,China
040899 - - Other,,0.00,0.00,2,1,,,China
040900 Natural honey.,,17.30,17.30,1,,,,China
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,7.70,1,,,,China
,2017,"142,534,019",5.34,5.34,171,162,,,China
"040110 - Of a fat content, by weight, not exceeding 1 %",156,,,2,2,,,China
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",668,,,4,4,,,China
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",11,,,2,2,,,China
"040150 - Of a fat content, by weight, exceeding 10 %","206,863",,,6,6,,,China
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %","55,633",,,4,4,,,China
040221 - - Not containing added sugar or other sweetening matter,"22,488",,,4,4,,,China
040229 - - Other,2,,,5,5,,,China
040291 - - Not containing added sugar or other sweetening matter,"175,957",,,6,6,,,China
040299 - - Other,461,,,5,5,,,China
040310 - Yogurt,,,,12,12,,,China
040390 - Other,"117,433",,,18,18,,,China
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter","37,122",,,24,24,,,China
040490 - Other,,,,6,6,,,China
040510 - Butter,"6,809",,,5,5,,,China
040520 - Dairy spreads,,,,3,3,,,China
040590 - Other,761,,,2,2,,,China
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,China
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,China
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,China
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,China
040690 - Other cheese,,,,32,32,,,China
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,China
040719 - - Other,,7.70,7.70,3,2,,,China
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,China
040729 - - Other,,7.70,7.70,2,1,,,China
040790 - Others,"710,309",7.70,7.70,2,1,,,China
040811 - - Dried,,0.00,0.00,2,1,,,China
040819 - - Other,,0.00,0.00,3,2,,,China
040891 - - Dried,"14,330",0.00,0.00,2,1,,,China
040899 - - Other,"29,513",0.00,0.00,2,1,,,China
040900 Natural honey.,"128,962,569",17.30,17.30,1,,,,China
"041000 Edible products of animal origin, not elsewhere specified or included.","12,192,934",7.70,7.70,1,,,,China
,2016,"141,649,663",5.34,5.34,171,162,,,China
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,China
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %","106,459",,,4,4,,,China
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,China
