Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
India,"4,679,948,093",,,,,,,Japan
,2018,,10.05,10.05,414,,,,Japan
390110 - Polyethylene having a specific gravity of less than 0.94,,10.00,10.00,2,,,,Japan
390120 - Polyethylene having a specific gravity of 0.94 or more,,10.00,10.00,1,,,,Japan
390130 - Ethylene-vinyl acetate copolymers,,10.00,10.00,1,,,,Japan
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,10.00,10.00,1,,,,Japan
390190 - Other,,10.00,10.00,2,,,,Japan
390210 - Polypropylene,,10.00,10.00,1,,,,Japan
390220 - Polyisobutylene,,10.00,10.00,1,,,,Japan
390230 - Propylene copolymers,,10.00,10.00,1,,,,Japan
390290 - Other,,10.00,10.00,1,,,,Japan
390311 - - Expansible,,10.00,10.00,1,,,,Japan
390319 - - Other,,10.00,10.00,2,,,,Japan
390320 - Styrene-acrylonitrile (SAN) copolymers,,10.00,10.00,1,,,,Japan
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,10.00,10.00,1,,,,Japan
390390 - Other,,10.00,10.00,3,,,,Japan
"390410 - Poly(vinyl chloride), not mixed with any other substances",,10.00,10.00,2,,,,Japan
390421 - - Non-plasticised,,10.00,10.00,2,,,,Japan
390422 - - Plasticised,,10.00,10.00,2,,,,Japan
390430 - Vinyl chloride-vinyl acetate copolymers,,10.00,10.00,2,,,,Japan
390440 - Other vinyl chloride copolymers,,10.00,10.00,1,,,,Japan
390450 - Vinylidene chloride polymers,,10.00,10.00,2,,,,Japan
390461 - - Polytetrafluoroethylene,,10.00,10.00,1,,,,Japan
390469 - - Other,,10.00,10.00,2,,,,Japan
390490 - Other,,10.00,10.00,1,,,,Japan
390512 - - In aqueous dispersion,,10.00,10.00,3,,,,Japan
390519 - - Other,,10.00,10.00,3,,,,Japan
390521 - - In aqueous dispersion,,10.00,10.00,1,,,,Japan
390529 - - Other,,10.00,10.00,1,,,,Japan
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,10.00,10.00,1,,,,Japan
390591 - - Copolymers,,10.00,10.00,1,,,,Japan
390599 - - Other,,10.00,10.00,2,,,,Japan
390610 - Poly(methyl methacrylate),,10.00,10.00,2,,,,Japan
390690 - Other,,10.00,10.00,4,,,,Japan
390710 - Polyacetals,,10.00,10.00,1,,,,Japan
390720 - Other polyethers,,10.00,10.00,2,,,,Japan
390730 - Epoxide resins,,10.00,10.00,2,,,,Japan
390740 - Polycarbonates,,10.00,10.00,1,,,,Japan
390750 - Alkyd resins,,10.00,10.00,1,,,,Japan
390761 - - Having a viscosity number of 78 ml/g or higher,,10.00,10.00,1,,,,Japan
390769 - - Other,,10.00,10.00,3,,,,Japan
390770 - Poly(lactic acid),,10.00,10.00,1,,,,Japan
390791 - - Unsaturated,,10.00,10.00,6,,,,Japan
390799 - - Other,,10.00,10.00,3,,,,Japan
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,10.00,10.00,2,,,,Japan
390890 - Other,,10.00,10.00,3,,,,Japan
390910 - Urea resins; thiourea resins,,10.00,10.00,2,,,,Japan
390920 - Melamine resins,,10.00,10.00,2,,,,Japan
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,10.00,10.00,1,,,,Japan
390939 - - Other,,10.00,10.00,2,,,,Japan
390940 - Phenolic resins,,10.00,10.00,7,,,,Japan
390950 - Polyurethanes,,10.00,10.00,1,,,,Japan
391000 Silicones in primary forms.,,10.00,10.00,3,,,,Japan
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,2,,,,Japan
391190 - Other,,10.00,10.00,2,,,,Japan
391211 - - Non-plasticised,,10.00,10.00,5,,,,Japan
391212 - - Plasticised,,10.00,10.00,4,,,,Japan
391220 - Cellulose nitrates (including collodions),,10.00,10.00,4,,,,Japan
391231 - - Carboxymethylcellulose and its salts,,10.00,10.00,1,,,,Japan
391239 - - Other,,10.00,10.00,6,,,,Japan
391290 - Other,,10.00,10.00,3,,,,Japan
"391310 - Alginic acid, its salts and esters",,10.00,10.00,2,,,,Japan
391390 - Other,,10.00,10.00,5,,,,Japan
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,10.00,10.00,3,,,,Japan
391510 - Of polymers of ethylene,,10.00,10.00,1,,,,Japan
391520 - Of polymers of styrene,,10.00,10.00,1,,,,Japan
391530 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Japan
391590 - Of other plastics,,10.00,10.00,17,,,,Japan
391610 - Of polymers of ethylene,,10.00,10.00,3,,,,Japan
391620 - Of polymers of vinyl chloride,,10.00,10.00,4,,,,Japan
391690 - Of other plastics,,10.00,10.00,17,,,,Japan
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,10.00,10.00,2,,,,Japan
391721 - - Of polymers of ethylene,,10.00,10.00,2,,,,Japan
391722 - - Of polymers of propylene,,10.00,10.00,1,,,,Japan
391723 - - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Japan
391729 - - Of other plastics,,10.00,10.00,6,,,,Japan
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,10.00,10.00,1,,,,Japan
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,10.00,10.00,3,,,,Japan
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,10.00,10.00,1,,,,Japan
391739 - - Other,,10.00,10.00,3,,,,Japan
391740 - Fittings,,10.00,10.00,1,,,,Japan
391810 - Of polymers of vinyl chloride,,10.00,10.00,2,,,,Japan
391890 - Of other plastics,,10.00,10.00,3,,,,Japan
391910 - In rolls of a width not exceeding 20 cm,,10.00,10.00,1,,,,Japan
391990 - Other,,11.67,11.67,3,,,,Japan
392010 - Of polymers of ethylene,,10.00,10.00,6,,,,Japan
392020 - Of polymers of propylene,,10.00,10.00,3,,,,Japan
392030 - Of polymers of styrene,,10.00,10.00,3,,,,Japan
392043 - - Containing by weight not less than 6 % of plasticisers,,10.00,10.00,1,,,,Japan
392049 - - Other,,10.00,10.00,1,,,,Japan
392051 - - Of poly(methyl methacrylate),,10.00,10.00,6,,,,Japan
392059 - - Other,,10.00,10.00,6,,,,Japan
392061 - - Of polycarbonates,,10.00,10.00,3,,,,Japan
392062 - - Of poly(ethylene terephthalate),,10.00,10.00,3,,,,Japan
392063 - - Of unsaturated polyesters,,10.00,10.00,3,,,,Japan
392069 - - Of other polyesters,,10.00,10.00,12,,,,Japan
392071 - - Of regenerated cellulose,,10.00,10.00,7,,,,Japan
392073 - - Of cellulose acetate,,10.00,10.00,9,,,,Japan
392079 - - Of other cellulose derivatives,,10.00,10.00,6,,,,Japan
392091 - - Of poly(vinyl butyral),,10.00,10.00,3,,,,Japan
392092 - - Of polyamides,,10.00,10.00,6,,,,Japan
392093 - - Of amino-resins,,10.00,10.00,3,,,,Japan
392094 - - Of phenolic resins,,10.00,10.00,3,,,,Japan
392099 - - Of other plastics,,10.26,10.26,19,,,,Japan
392111 - - Of polymers of styrene,,10.00,10.00,1,,,,Japan
392112 - - Of polymers of vinyl chloride,,10.00,10.00,1,,,,Japan
392113 - - Of polyurethanes,,10.00,10.00,2,,,,Japan
392114 - - Of regenerated cellulose,,10.00,10.00,1,,,,Japan
392119 - - Of other plastics,,10.00,10.00,1,,,,Japan
392190 - Other,,10.00,10.00,22,,,,Japan
"392210 - Baths, shower-baths, sinks and wash-basins",,10.00,10.00,1,,,,Japan
392220 - Lavatory seats and covers,,10.00,10.00,1,,,,Japan
392290 - Other,,10.00,10.00,1,,,,Japan
"392310 - Boxes, cases, crates and similar articles",,10.00,10.00,5,,,,Japan
