Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
European Union,"12,499",,,,,,,Armenia
,2018,,5.34,0.00,171,162,19,14,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Armenia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Armenia
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Armenia
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,Armenia
040229 - - Other,,,,5,5,,,Armenia
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 - - Other,,,,5,5,,,Armenia
040310 - Yogurt,,,,12,12,6,6,Armenia
040390 - Other,,,,18,18,6,6,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Armenia
040490 - Other,,,,6,6,,,Armenia
040510 - Butter,,,,5,5,,,Armenia
040520 - Dairy spreads,,,,3,3,2,2,Armenia
040590 - Other,,,,2,2,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Armenia
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Armenia
040690 - Other cheese,,,,32,32,,,Armenia
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040719 - - Other,,7.70,0.00,3,2,1,,Armenia
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040729 - - Other,,7.70,0.00,2,1,1,,Armenia
040790 - Others,,7.70,0.00,2,1,1,,Armenia
040811 - - Dried,,0.00,0.00,2,1,,,Armenia
040819 - - Other,,0.00,0.00,3,2,,,Armenia
040891 - - Dried,,0.00,0.00,2,1,,,Armenia
040899 - - Other,,0.00,0.00,2,1,,,Armenia
040900 Natural honey.,,17.30,0.00,1,,1,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Armenia
,2017,"7,547",5.34,0.00,171,162,19,14,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Armenia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Armenia
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",2,,,4,4,,,Armenia
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,Armenia
040229 - - Other,,,,5,5,,,Armenia
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 - - Other,,,,5,5,,,Armenia
040310 - Yogurt,,,,12,12,6,6,Armenia
040390 - Other,,,,18,18,6,6,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Armenia
040490 - Other,,,,6,6,,,Armenia
040510 - Butter,,,,5,5,,,Armenia
040520 - Dairy spreads,,,,3,3,2,2,Armenia
040590 - Other,,,,2,2,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Armenia
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Armenia
040690 - Other cheese,,,,32,32,,,Armenia
040711 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040719 - - Other,,7.70,0.00,3,2,1,,Armenia
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040729 - - Other,,7.70,0.00,2,1,1,,Armenia
040790 - Others,,7.70,0.00,2,1,1,,Armenia
040811 - - Dried,,0.00,0.00,2,1,,,Armenia
040819 - - Other,,0.00,0.00,3,2,,,Armenia
040891 - - Dried,,0.00,0.00,2,1,,,Armenia
040899 - - Other,,0.00,0.00,2,1,,,Armenia
040900 Natural honey.,"7,545",17.30,0.00,1,,1,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Armenia
,2016,"4,780",5.34,0.00,171,162,19,14,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Armenia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Armenia
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Armenia
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Armenia
040229 -- Other,,,,5,5,,,Armenia
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 -- Other,,,,5,5,,,Armenia
040310 - Yogurt,,,,12,12,6,6,Armenia
040390 - Other,,,,18,18,6,6,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Armenia
040490 - Other,,,,6,6,,,Armenia
040510 - Butter,,,,5,5,,,Armenia
040520 - Dairy spreads,,,,3,3,2,2,Armenia
040590 - Other,,,,2,2,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Armenia
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Armenia
040690 - Other cheese,,,,32,32,,,Armenia
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040719 -- Other,,7.70,0.00,3,2,1,,Armenia
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040729 -- Other,,7.70,0.00,2,1,1,,Armenia
040790 - Others,,7.70,0.00,2,1,1,,Armenia
040811 -- Dried,,0.00,0.00,2,1,,,Armenia
040819 -- Other,,0.00,0.00,3,2,,,Armenia
040891 -- Dried,,0.00,0.00,2,1,,,Armenia
040899 -- Other,,0.00,0.00,2,1,,,Armenia
040900 Natural honey.,"4,780",17.30,0.00,1,,1,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Armenia
,2015,,5.34,0.00,171,162,19,14,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Armenia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Armenia
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Armenia
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Armenia
040229 -- Other,,,,5,5,,,Armenia
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 -- Other,,,,5,5,,,Armenia
040310 - Yogurt,,,,12,12,6,6,Armenia
040390 - Other,,,,18,18,6,6,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Armenia
040490 - Other,,,,6,6,,,Armenia
040510 - Butter,,,,5,5,,,Armenia
040520 - Dairy spreads,,,,3,3,2,2,Armenia
040590 - Other,,,,2,2,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,3,3,,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,,,1,1,,,Armenia
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Armenia
040690 - Other cheese,,,,32,32,,,Armenia
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040719 -- Other,,7.70,0.00,3,2,1,,Armenia
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040729 -- Other,,7.70,0.00,2,1,1,,Armenia
040790 - Others,,7.70,0.00,2,1,1,,Armenia
040811 -- Dried,,0.00,0.00,2,1,,,Armenia
040819 -- Other,,0.00,0.00,3,2,,,Armenia
040891 -- Dried,,0.00,0.00,2,1,,,Armenia
040899 -- Other,,0.00,0.00,2,1,,,Armenia
040900 Natural honey.,,17.30,0.00,1,,1,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Armenia
,2014,,5.77,1.40,172,161,19,14,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Armenia
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Armenia
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Armenia
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Armenia
040221 -- Not containing added sugar or other sweetening matter,,,,4,4,,,Armenia
040229 -- Other,,,,5,5,,,Armenia
040291 -- Not containing added sugar or other sweetening matter,,,,6,6,,,Armenia
040299 -- Other,,,,5,5,,,Armenia
040310 - Yogurt,,,,12,12,6,6,Armenia
040390 - Other,,,,18,18,6,6,Armenia
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,,24,24,,,Armenia
040490 - Other,,,,6,6,,,Armenia
040510 - Butter,,,,5,5,,,Armenia
040520 - Dairy spreads,,,,3,3,2,2,Armenia
040590 - Other,,,,2,2,,,Armenia
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,,2,2,,,Armenia
"040620 - Grated or powdered cheese, of all kinds",,7.70,7.70,2,1,,,Armenia
"040630 - Processed cheese, not grated or powdered",,,,4,4,,,Armenia
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,,3,3,,,Armenia
040690 - Other cheese,,7.70,7.70,33,32,,,Armenia
040711 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040719 -- Other,,7.70,0.00,3,2,1,,Armenia
040721 -- Of fowls of the species Gallus domesticus,,,,1,1,,,Armenia
040729 -- Other,,7.70,0.00,2,1,1,,Armenia
040790 - Others,,7.70,0.00,2,1,1,,Armenia
040811 -- Dried,,0.00,0.00,2,1,,,Armenia
040819 -- Other,,0.00,0.00,3,2,,,Armenia
040891 -- Dried,,0.00,0.00,2,1,,,Armenia
040899 -- Other,,0.00,0.00,2,1,,,Armenia
040900 Natural honey.,,17.30,0.00,1,,1,,Armenia
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Armenia
,2013,,5.77,1.40,172,161,19,14,Armenia
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Armenia
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Armenia
