Importer,Year,Value,Ad val. duties,Number of lines,Armenia
,(US$),Simple average,MFN duties,Pref. duties,Armenia
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Armenia
European Union,"208,904,469",,,,,,,Armenia
,2018,,2.75,0.00,23,,20,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,0.00,3,,3,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Armenia
880390 - Other,,1.56,0.00,5,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Armenia
880529 - - Other,,0.00,0.00,1,,,,Armenia
,2017,"4,718,962",2.80,0.00,23,,20,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","4,718,957",2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,0.00,3,,3,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,3,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,2,2.70,0.00,1,,1,,Armenia
880390 - Other,,1.56,0.00,5,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,Armenia
880529 - - Other,,0.00,0.00,1,,,,Armenia
,2016,"32,126",3.07,0.00,21,,21,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","32,126",2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Armenia
880390 - Other,,1.95,0.00,4,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Armenia
880529 -- Other,,1.70,0.00,1,,1,,Armenia
,2015,,3.07,0.00,21,,21,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,,2.70,0.00,1,,1,,Armenia
880390 - Other,,1.95,0.00,4,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Armenia
880529 -- Other,,1.70,0.00,1,,1,,Armenia
,2014,"4,105",3.07,0.00,21,,21,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,"1,762",2.70,0.00,1,,1,,Armenia
880390 - Other,"2,343",1.95,0.00,4,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Armenia
880529 -- Other,,1.70,0.00,1,,1,,Armenia
,2013,"32,869",3.07,0.00,21,,21,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,"26,494",2.70,0.00,1,,1,,Armenia
880390 - Other,"6,375",1.95,0.00,4,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Armenia
880529 -- Other,,1.70,0.00,1,,1,,Armenia
,2012,"12,404",3.07,0.00,21,,21,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,,2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,"4,370",2.70,0.00,1,,1,,Armenia
880390 - Other,"8,033",1.95,0.00,4,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Armenia
880529 -- Other,,1.70,0.00,1,,1,,Armenia
,2011,"75,349",3.07,0.00,21,,21,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,0.00,1,,1,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,0.00,1,,1,,Armenia
880320 - Under-carriages and parts thereof,"32,782",2.70,0.00,1,,1,,Armenia
880330 - Other parts of aeroplanes or helicopters,"42,567",2.70,0.00,1,,1,,Armenia
880390 - Other,,1.95,0.00,4,,4,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,0.00,2,,2,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,0.00,1,,1,,Armenia
880529 -- Other,,1.70,0.00,1,,1,,Armenia
,2010,"86,025",3.07,3.07,21,,,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Armenia
880320 - Under-carriages and parts thereof,"55,388",2.70,2.70,1,,,,Armenia
880330 - Other parts of aeroplanes or helicopters,"30,637",2.70,2.70,1,,,,Armenia
880390 - Other,,1.95,1.95,4,,,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Armenia
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,Armenia
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,Armenia
880529 -- Other,,1.70,1.70,1,,,,Armenia
,2009,"1,241",3.07,3.07,21,,,,Armenia
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,Armenia
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,Armenia
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,Armenia
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,Armenia
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,Armenia
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,Armenia
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,Armenia
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,Armenia
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,Armenia
880330 - Other parts of aeroplanes or helicopters,"1,241",2.70,2.70,1,,,,Armenia
880390 - Other,,1.95,1.95,4,,,,Armenia
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,Armenia
