Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"1,137,226,521",,,,,,,China
,2018,,6.84,6.84,44,39,,,China
170112 - - Beet sugar,,,,2,2,,,China
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,China
170114 - - Other cane sugar,,,,2,2,,,China
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,China
170199 - - Other,,,,2,2,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,China
170219 - - Other,,,,1,1,,,China
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,China
170250 - Chemically pure fructose,,,,1,1,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,China
170310 - Cane molasses,,0.00,0.00,1,,,,China
170390 - Other,,0.00,0.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated",,,,2,2,,,China
170490 - Other,,13.40,13.40,10,9,,,China
,2017,"78,431,936",6.84,6.84,44,39,,,China
170112 - - Beet sugar,"16,001",,,2,2,,,China
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,"61,733",,,2,2,,,China
170114 - - Other cane sugar,"431,410",,,2,2,,,China
170191 - - Containing added flavouring or colouring matter,"186,548",,,1,1,,,China
170199 - - Other,"885,726",,,2,2,,,China
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","273,063",,,1,1,,,China
170219 - - Other,"114,311",,,1,1,,,China
170220 - Maple sugar and maple syrup,"79,563",8.00,8.00,2,1,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","715,096",,,3,3,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","1,957",,,2,2,,,China
170250 - Chemically pure fructose,"8,616",,,1,1,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","250,460",,,3,3,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","11,473,900",12.80,12.80,8,7,,,China
170310 - Cane molasses,"7,295",0.00,0.00,1,,,,China
170390 - Other,112,0.00,0.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","7,948,403",,,2,2,,,China
170490 - Other,"55,977,743",13.40,13.40,10,9,,,China
,2016,"69,087,349",6.84,6.84,44,39,,,China
170112 -- Beet sugar,"5,348",,,2,2,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"29,002",,,2,2,,,China
170114 -- Other cane sugar,"291,251",,,2,2,,,China
170191 -- Containing added flavouring or colouring matter,"49,599",,,1,1,,,China
170199 -- Other,"672,094",,,2,2,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",376,,,1,1,,,China
170219 -- Other,"63,053",,,1,1,,,China
170220 - Maple sugar and maple syrup,"995,396",8.00,8.00,2,1,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","269,546",,,3,3,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",34,,,2,2,,,China
170250 - Chemically pure fructose,"88,393",,,1,1,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar","1,232",,,3,3,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","9,652,241",12.80,12.80,8,7,,,China
170310 - Cane molasses,"4,623",0.00,0.00,1,,,,China
170390 - Other,270,0.00,0.00,1,,,,China
"170410 - Chewing gum, whether or not sugar-coated","6,613,920",,,2,2,,,China
170490 - Other,"50,350,972",13.40,13.40,10,9,,,China
,2015,"71,073,299",6.84,6.84,44,39,,,China
170112 -- Beet sugar,"3,255",,,2,2,,,China
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,"63,557",,,2,2,,,China
170114 -- Other cane sugar,"238,337",,,2,2,,,China
170191 -- Containing added flavouring or colouring matter,"111,964",,,1,1,,,China
170199 -- Other,"939,648",,,2,2,,,China
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",103,,,1,1,,,China
170219 -- Other,"92,730",,,1,1,,,China
170220 - Maple sugar and maple syrup,"273,760",8.00,8.00,2,1,,,China
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","270,814",,,3,3,,,China
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar","3,419",,,2,2,,,China
170250 - Chemically pure fructose,"318,786",,,1,1,,,China
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",909,,,3,3,,,China
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose","6,775,987",12.80,12.80,8,7,,,China
170310 - Cane molasses,"5,981",0.00,0.00,1,,,,China
170390 - Other,9,0.00,0.00,1,,,,China
