Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Brazil,"34,151,912,798",,,,,,,"Korea, Republic of"
,2018,,11.99,11.99,654,,,,"Korea, Republic of"
850110 - Motors of an output not exceeding 37.5 W,,14.40,14.40,5,,,,"Korea, Republic of"
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,18.00,18.00,1,,,,"Korea, Republic of"
850131 - - Of an output not exceeding 750 W,,18.00,18.00,2,,,,"Korea, Republic of"
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,18.00,18.00,2,,,,"Korea, Republic of"
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,14.00,14.00,2,,,,"Korea, Republic of"
850134 - - Of an output exceeding 375 kW,,9.33,9.33,3,,,,"Korea, Republic of"
"850140 - Other AC motors, single-phase",,16.00,16.00,4,,,,"Korea, Republic of"
850151 - - Of an output not exceeding 750 W,,14.00,14.00,3,,,,"Korea, Republic of"
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,14.00,14.00,3,,,,"Korea, Republic of"
850153 - - Of an output exceeding 75 kW,,10.50,10.50,4,,,,"Korea, Republic of"
850161 - - Of an output not exceeding 75 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
850164 - - Of an output exceeding 750 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
850211 - - Of an output not exceeding 75 kVA,,14.00,14.00,2,,,,"Korea, Republic of"
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,2,,,,"Korea, Republic of"
850213 - - Of an output exceeding 375 kVA,,14.00,14.00,3,,,,"Korea, Republic of"
850220 - Generating sets with spark-ignition internal combustion piston engines,,9.33,9.33,3,,,,"Korea, Republic of"
850231 - - Wind-powered,,0.00,0.00,1,,,,"Korea, Republic of"
850239 - - Other,,0.00,0.00,1,,,,"Korea, Republic of"
850240 - Electric rotary converters,,14.00,14.00,2,,,,"Korea, Republic of"
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,14.00,14.00,2,,,,"Korea, Republic of"
850410 - Ballasts for discharge lamps or tubes,,18.00,18.00,1,,,,"Korea, Republic of"
850421 - - Having a power handling capacity not exceeding 650 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,14.00,14.00,1,,,,"Korea, Republic of"
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,14.00,14.00,1,,,,"Korea, Republic of"
850431 - - Having a power handling capacity not exceeding 1 kVA,,14.40,14.40,5,,,,"Korea, Republic of"
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,18.00,18.00,4,,,,"Korea, Republic of"
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
850434 - - Having a power handling capacity exceeding 500 kVA,,14.00,14.00,1,,,,"Korea, Republic of"
850440 - Static converters,,16.22,16.22,9,,,,"Korea, Republic of"
850450 - Other inductors,,18.00,18.00,1,,,,"Korea, Republic of"
850490 - Parts,,15.20,15.20,5,,,,"Korea, Republic of"
850511 - - Of metal,,16.00,16.00,1,,,,"Korea, Republic of"
850519 - - Other,,16.00,16.00,2,,,,"Korea, Republic of"
"850520 - Electro-magnetic couplings, clutches and brakes",,7.00,7.00,2,,,,"Korea, Republic of"
"850590 - Other, including parts",,14.67,14.67,3,,,,"Korea, Republic of"
850610 - Manganese dioxide,,16.00,16.00,3,,,,"Korea, Republic of"
850630 - Mercuric oxide,,8.00,8.00,2,,,,"Korea, Republic of"
850640 - Silver oxide,,8.00,8.00,2,,,,"Korea, Republic of"
850650 - Lithium,,8.00,8.00,2,,,,"Korea, Republic of"
850660 - Air-zinc,,8.00,8.00,2,,,,"Korea, Republic of"
850680 - Other primary cells and primary batteries,,8.00,8.00,2,,,,"Korea, Republic of"
850690 - Parts,,14.00,14.00,1,,,,"Korea, Republic of"
"850710 - Lead-acid, of a kind used for starting piston engines",,18.00,18.00,2,,,,"Korea, Republic of"
850720 - Other lead-acid accumulators,,18.00,18.00,2,,,,"Korea, Republic of"
850730 - Nickel-cadmium,,18.00,18.00,3,,,,"Korea, Republic of"
850740 - Nickel-iron,,18.00,18.00,1,,,,"Korea, Republic of"
850750 - Nickel-metal hydride,,18.00,18.00,1,,,,"Korea, Republic of"
850760 - Lithium-ion,,18.00,18.00,1,,,,"Korea, Republic of"
850780 - Other accumulators,,18.00,18.00,1,,,,"Korea, Republic of"
850790 - Parts,,16.00,16.00,3,,,,"Korea, Republic of"
"850811 - - Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l",,20.00,20.00,1,,,,"Korea, Republic of"
850819 - - Other,,20.00,20.00,1,,,,"Korea, Republic of"
850860 - Other vacuum cleaners,,14.00,14.00,1,,,,"Korea, Republic of"
850870 - Parts,,14.00,14.00,1,,,,"Korea, Republic of"
850940 - Food grinders and mixers; fruit or vegetable juice extractors,,20.00,20.00,6,,,,"Korea, Republic of"
850980 - Other appliances,,20.00,20.00,2,,,,"Korea, Republic of"
850990 - Parts,,16.00,16.00,1,,,,"Korea, Republic of"
851010 - Shavers,,20.00,20.00,1,,,,"Korea, Republic of"
851020 - Hair clippers,,0.00,0.00,1,,,,"Korea, Republic of"
851030 - Hair-removing appliances,,20.00,20.00,1,,,,"Korea, Republic of"
851090 - Parts,,11.50,11.50,4,,,,"Korea, Republic of"
851110 - Sparking plugs,,18.00,18.00,1,,,,"Korea, Republic of"
