Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
European Union,"1,133,940,279",,,,,,,Ukraine
,2018,,5.48,0.43,210,,179,,Ukraine
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,1.60,2,,2,,Ukraine
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,0.80,2,,1,,Ukraine
390130 - Ethylene-vinyl acetate copolymers,,6.50,1.60,1,,1,,Ukraine
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,1.60,1,,1,,Ukraine
390190 - Other,,3.25,0.80,2,,1,,Ukraine
390210 - Polypropylene,,6.50,1.60,1,,1,,Ukraine
390220 - Polyisobutylene,,6.50,1.60,1,,1,,Ukraine
390230 - Propylene copolymers,,6.50,1.60,1,,1,,Ukraine
390290 - Other,,2.17,0.53,3,,1,,Ukraine
390311 - - Expansible,,6.50,1.60,1,,1,,Ukraine
390319 - - Other,,6.50,0.00,1,,1,,Ukraine
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,1.60,1,,1,,Ukraine
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,1.60,1,,1,,Ukraine
390390 - Other,,2.17,0.53,3,,1,,Ukraine
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,1.60,1,,1,,Ukraine
390421 - - Non-plasticised,,6.50,1.60,1,,1,,Ukraine
390422 - - Plasticised,,6.50,1.60,1,,1,,Ukraine
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,1.60,1,,1,,Ukraine
390440 - Other vinyl chloride copolymers,,6.50,1.60,1,,1,,Ukraine
390450 - Vinylidene chloride polymers,,3.25,0.80,2,,1,,Ukraine
390461 - - Polytetrafluoroethylene,,6.50,1.60,1,,1,,Ukraine
390469 - - Other,,4.33,1.07,3,,2,,Ukraine
390490 - Other,,6.50,1.60,1,,1,,Ukraine
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,Ukraine
390519 - - Other,,6.50,0.00,1,,1,,Ukraine
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,Ukraine
390529 - - Other,,6.50,0.00,1,,1,,Ukraine
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,Ukraine
390591 - - Copolymers,,6.50,0.00,1,,1,,Ukraine
390599 - - Other,,3.25,0.00,2,,1,,Ukraine
390610 - Poly(methyl methacrylate),,6.50,1.60,1,,1,,Ukraine
390690 - Other,,0.93,0.00,7,,1,,Ukraine
390710 - Polyacetals,,6.50,0.00,1,,1,,Ukraine
390720 - Other polyethers,,4.88,0.00,4,,3,,Ukraine
390730 - Epoxide resins,,6.50,0.00,1,,1,,Ukraine
390740 - Polycarbonates,,6.50,0.00,1,,1,,Ukraine
390750 - Alkyd resins,,6.50,0.00,1,,1,,Ukraine
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,1.60,1,,1,,Ukraine
390769 - - Other,,6.50,1.60,1,,1,,Ukraine
390770 - Poly(lactic acid),,0.00,0.00,1,,,,Ukraine
390791 - - Unsaturated,,6.50,0.00,2,,2,,Ukraine
390799 - - Other,,3.27,0.80,3,,2,,Ukraine
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,0.00,1,,1,,Ukraine
390890 - Other,,6.50,0.00,1,,1,,Ukraine
390910 - Urea resins; thiourea resins,,6.50,0.00,1,,1,,Ukraine
390920 - Melamine resins,,6.50,0.00,1,,1,,Ukraine
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,0.00,1,,1,,Ukraine
390939 - - Other,,6.50,0.00,1,,1,,Ukraine
390940 - Phenolic resins,,6.50,0.00,1,,1,,Ukraine
390950 - Polyurethanes,,3.25,0.00,2,,1,,Ukraine
391000 Silicones in primary forms.,,6.50,0.00,1,,1,,Ukraine
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,Ukraine
391190 - Other,,3.30,0.00,5,,3,,Ukraine
391211 - - Non-plasticised,,6.50,0.00,1,,1,,Ukraine
391212 - - Plasticised,,6.50,0.00,1,,1,,Ukraine
391220 - Cellulose nitrates (including collodions),,6.33,0.00,3,,3,,Ukraine
391231 - - Carboxymethylcellulose and its salts,,6.50,0.00,1,,1,,Ukraine
391239 - - Other,,3.25,0.00,2,,1,,Ukraine
391290 - Other,,6.45,0.00,2,,2,,Ukraine
"391310 - Alginic acid, its salts and esters",,5.00,0.00,1,,1,,Ukraine
391390 - Other,,6.50,0.00,1,,1,,Ukraine
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,Ukraine
391510 - Of polymers of ethylene,,6.50,0.00,1,,1,,Ukraine
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,Ukraine
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Ukraine
391590 - Of other plastics,,6.50,0.00,2,,2,,Ukraine
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,Ukraine
391620 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Ukraine
391690 - Of other plastics,,6.50,0.00,3,,3,,Ukraine
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,0.00,2,,2,,Ukraine
391721 - - Of polymers of ethylene,,6.50,0.00,2,,2,,Ukraine
391722 - - Of polymers of propylene,,6.50,0.00,2,,2,,Ukraine
391723 - - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Ukraine
391729 - - Of other plastics,,6.50,0.00,1,,1,,Ukraine
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,0.00,1,,1,,Ukraine
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,0.00,1,,1,,Ukraine
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,0.00,1,,1,,Ukraine
391739 - - Other,,6.50,0.00,1,,1,,Ukraine
391740 - Fittings,,6.50,0.00,1,,1,,Ukraine
391810 - Of polymers of vinyl chloride,,6.50,0.00,2,,2,,Ukraine
391890 - Of other plastics,,6.50,0.00,1,,1,,Ukraine
391910 - In rolls of a width not exceeding 20 cm,,6.35,0.00,4,,4,,Ukraine
391990 - Other,,3.25,0.00,2,,1,,Ukraine
392010 - Of polymers of ethylene,,4.64,0.00,7,,5,,Ukraine
392020 - Of polymers of propylene,,6.50,1.60,3,,3,,Ukraine
392030 - Of polymers of styrene,,6.50,1.60,1,,1,,Ukraine
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,1.60,2,,2,,Ukraine
392049 - - Other,,6.50,1.60,2,,2,,Ukraine
392051 - - Of poly(methyl methacrylate),,6.50,1.60,1,,1,,Ukraine
392059 - - Other,,3.25,0.80,2,,1,,Ukraine
392061 - - Of polycarbonates,,6.50,1.60,1,,1,,Ukraine
392062 - - Of poly(ethylene terephthalate),,4.33,1.07,3,,2,,Ukraine
392063 - - Of unsaturated polyesters,,6.50,1.60,1,,1,,Ukraine
392069 - - Of other polyesters,,6.50,1.60,1,,1,,Ukraine
392071 - - Of regenerated cellulose,,6.50,1.60,1,,1,,Ukraine
392073 - - Of cellulose acetate,,6.40,1.55,2,,2,,Ukraine
392079 - - Of other cellulose derivatives,,6.10,0.80,2,,2,,Ukraine
392091 - - Of poly(vinyl butyral),,6.10,1.50,1,,1,,Ukraine
392092 - - Of polyamides,,6.50,1.60,1,,1,,Ukraine
392093 - - Of amino-resins,,6.50,1.60,1,,1,,Ukraine
392094 - - Of phenolic resins,,6.50,1.60,1,,1,,Ukraine
392099 - - Of other plastics,,3.25,0.80,6,,3,,Ukraine
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,Ukraine
392112 - - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,Ukraine
392113 - - Of polyurethanes,,6.50,0.00,2,,2,,Ukraine
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,Ukraine
392119 - - Of other plastics,,6.50,0.00,1,,1,,Ukraine
392190 - Other,,6.50,0.20,8,,8,,Ukraine
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,0.00,1,,1,,Ukraine
392220 - Lavatory seats and covers,,6.50,0.00,1,,1,,Ukraine
392290 - Other,,6.50,0.00,1,,1,,Ukraine
"392310 - Boxes, cases, crates and similar articles",,3.25,0.00,2,,1,,Ukraine
392321 - - Of polymers of ethylene,,6.50,1.60,1,,1,,Ukraine
392329 - - Of other plastics,,6.50,0.00,2,,2,,Ukraine
"392330 - Carboys, bottles, flasks and similar articles",,6.50,0.00,2,,2,,Ukraine
"392340 - Spools, cops, bobbins and similar supports",,5.90,0.00,2,,2,,Ukraine
"392350 - Stoppers, lids, caps and other closures",,6.50,0.00,2,,2,,Ukraine
392390 - Other,,6.50,0.00,1,,1,,Ukraine
392410 - Tableware and kitchenware,,6.50,0.00,1,,1,,Ukraine
392490 - Other,,6.50,0.00,1,,1,,Ukraine
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,0.00,1,,1,,Ukraine
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,0.00,1,,1,,Ukraine
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,0.00,1,,1,,Ukraine
392590 - Other,,6.50,0.00,3,,3,,Ukraine
392610 - Office or school supplies,,6.50,0.00,1,,1,,Ukraine
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,0.00,1,,1,,Ukraine
"392630 - Fittings for furniture, coachwork or the like",,6.50,0.00,1,,1,,Ukraine
392640 - Statuettes and other ornamental articles,,6.50,0.00,1,,1,,Ukraine
392690 - Other,,6.50,0.00,3,,3,,Ukraine
,2017,"128,738,639",5.49,0.79,210,,179,,Ukraine
390110 - Polyethylene having a specific gravity of less than 0.94,"47,227",6.50,3.00,2,,2,,Ukraine
390120 - Polyethylene having a specific gravity of 0.94 or more,"1,855,963",3.25,1.50,2,,1,,Ukraine
