Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
India,"3,217,452,393",,,,,,,China
,2018,,20.00,20.00,55,,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,China
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,China
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,China
950440 - Playing cards,,20.00,20.00,1,,,,China
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,China
950490 - Other,,20.00,20.00,3,,,,China
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,China
950590 - Other,,20.00,20.00,2,,,,China
950611 - - Skis,,20.00,20.00,1,,,,China
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,China
950619 - - Other,,20.00,20.00,1,,,,China
950621 - - Sailboards,,20.00,20.00,1,,,,China
950629 - - Other,,20.00,20.00,1,,,,China
"950631 - - Clubs, complete",,20.00,20.00,1,,,,China
950632 - - Balls,,20.00,20.00,1,,,,China
950639 - - Other,,20.00,20.00,1,,,,China
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,China
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,China
950659 - - Other,,20.00,20.00,2,,,,China
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,China
950662 - - Inflatable,,20.00,20.00,4,,,,China
950669 - - Other,,20.00,20.00,5,,,,China
"950670 - Ice skates and roller skates, including skating boots with skates attached",,20.00,20.00,1,,,,China
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,20.00,20.00,2,,,,China
950699 - - Other,,20.00,20.00,9,,,,China
950710 - Fishing rods,,20.00,20.00,1,,,,China
"950720 - Fish-hooks, whether or not snelled",,20.00,20.00,1,,,,China
950730 - Fishing reels,,20.00,20.00,1,,,,China
950790 - Other,,20.00,20.00,2,,,,China
950810 - Travelling circuses and travelling menageries,,20.00,20.00,1,,,,China
950890 - Other,,20.00,20.00,1,,,,China
,2017,,9.09,9.09,55,,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,10.00,10.00,4,,,,China
950420 - Articles and accessories for billiards of all kinds,,10.00,10.00,1,,,,China
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,10.00,10.00,1,,,,China
950440 - Playing cards,,10.00,10.00,1,,,,China
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,10.00,10.00,1,,,,China
950490 - Other,,10.00,10.00,3,,,,China
950510 - Articles for Christmas festivities,,10.00,10.00,1,,,,China
950590 - Other,,10.00,10.00,2,,,,China
950611 - - Skis,,0.00,0.00,1,,,,China
950612 - - Ski-fastenings (ski-bindings),,0.00,0.00,1,,,,China
950619 - - Other,,0.00,0.00,1,,,,China
950621 - - Sailboards,,0.00,0.00,1,,,,China
950629 - - Other,,0.00,0.00,1,,,,China
"950631 - - Clubs, complete",,10.00,10.00,1,,,,China
950632 - - Balls,,10.00,10.00,1,,,,China
950639 - - Other,,10.00,10.00,1,,,,China
950640 - Articles and equipment for table-tennis,,10.00,10.00,1,,,,China
"950651 - - Lawn-tennis rackets, whether or not strung",,10.00,10.00,1,,,,China
950659 - - Other,,10.00,10.00,2,,,,China
950661 - - Lawn-tennis balls,,10.00,10.00,1,,,,China
950662 - - Inflatable,,10.00,10.00,4,,,,China
950669 - - Other,,10.00,10.00,5,,,,China
"950670 - Ice skates and roller skates, including skating boots with skates attached",,10.00,10.00,1,,,,China
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,10.00,10.00,2,,,,China
950699 - - Other,,10.00,10.00,9,,,,China
950710 - Fishing rods,,10.00,10.00,1,,,,China
"950720 - Fish-hooks, whether or not snelled",,10.00,10.00,1,,,,China
950730 - Fishing reels,,10.00,10.00,1,,,,China
950790 - Other,,10.00,10.00,2,,,,China
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,China
950890 - Other,,10.00,10.00,1,,,,China
,2016,"408,169,301",9.09,9.09,55,,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","254,669,118",10.00,10.00,4,,,,China
950420 - Articles and accessories for billiards of all kinds,"654,227",10.00,10.00,1,,,,China
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","423,163",10.00,10.00,1,,,,China
950440 - Playing cards,"2,712,099",10.00,10.00,1,,,,China
"950450 -Video game consoles and machines, other than those of subheading 9504.30","15,085,547",10.00,10.00,1,,,,China
950490 - Other,"5,359,485",10.00,10.00,3,,,,China
950510 - Articles for Christmas festivities,"1,463,336",10.00,10.00,1,,,,China
950590 - Other,"16,022,409",10.00,10.00,2,,,,China
950611 -- Skis,299,0.00,0.00,1,,,,China
950612 -- Ski-fastenings (ski-bindings),"224,814",0.00,0.00,1,,,,China
950619 -- Other,"188,528",0.00,0.00,1,,,,China
950621 -- Sailboards,,0.00,0.00,1,,,,China
950629 -- Other,"802,905",0.00,0.00,1,,,,China
"950631 -- Clubs, complete","1,367,596",10.00,10.00,1,,,,China
950632 -- Balls,"489,322",10.00,10.00,1,,,,China
950639 -- Other,"270,047",10.00,10.00,1,,,,China
950640 - Articles and equipment for table-tennis,"1,395,159",10.00,10.00,1,,,,China
"950651 -- Lawn-tennis rackets, whether or not strung","1,584,461",10.00,10.00,1,,,,China
950659 -- Other,"11,143,802",10.00,10.00,2,,,,China
950661 -- Lawn-tennis balls,"114,385",10.00,10.00,1,,,,China
950662 -- Inflatable,"2,157,108",10.00,10.00,4,,,,China
950669 -- Other,"1,351,444",10.00,10.00,5,,,,China
"950670 - Ice skates and roller skates, including skating boots with skates attached","1,805,149",10.00,10.00,1,,,,China
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","27,444,921",10.00,10.00,2,,,,China
950699 -- Other,"55,103,361",10.00,10.00,9,,,,China
950710 - Fishing rods,"174,719",10.00,10.00,1,,,,China
"950720 - Fish-hooks, whether or not snelled","498,099",10.00,10.00,1,,,,China
950730 - Fishing reels,"61,415",10.00,10.00,1,,,,China
950790 - Other,"501,757",10.00,10.00,2,,,,China
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,China
950890 - Other,"5,100,626",10.00,10.00,1,,,,China
,2015,"436,645,796",9.07,9.07,55,1,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","287,026,354",10.00,10.00,4,,,,China
950420 - Articles and accessories for billiards of all kinds,"394,655",10.00,10.00,1,,,,China
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","817,291",10.00,10.00,1,,,,China
950440 - Playing cards,"2,662,114",10.00,10.00,1,,,,China
"950450 -Video game consoles and machines, other than those of subheading 9504.30","18,875,202",10.00,10.00,1,,,,China
950490 - Other,"5,663,248",10.00,10.00,3,1,,,China
950510 - Articles for Christmas festivities,"1,648,982",10.00,10.00,1,,,,China
950590 - Other,"17,707,769",10.00,10.00,2,,,,China
950611 -- Skis,607,0.00,0.00,1,,,,China
950612 -- Ski-fastenings (ski-bindings),"89,359",0.00,0.00,1,,,,China
950619 -- Other,"247,233",0.00,0.00,1,,,,China
950621 -- Sailboards,,0.00,0.00,1,,,,China
950629 -- Other,"528,539",0.00,0.00,1,,,,China
"950631 -- Clubs, complete","1,269,843",10.00,10.00,1,,,,China
950632 -- Balls,"645,608",10.00,10.00,1,,,,China
950639 -- Other,"196,819",10.00,10.00,1,,,,China
950640 - Articles and equipment for table-tennis,"1,184,238",10.00,10.00,1,,,,China
"950651 -- Lawn-tennis rackets, whether or not strung","1,508,222",10.00,10.00,1,,,,China
950659 -- Other,"12,082,554",10.00,10.00,2,,,,China
950661 -- Lawn-tennis balls,"449,754",10.00,10.00,1,,,,China
950662 -- Inflatable,"3,012,316",10.00,10.00,4,,,,China
950669 -- Other,"893,778",10.00,10.00,5,,,,China
"950670 - Ice skates and roller skates, including skating boots with skates attached","2,772,472",10.00,10.00,1,,,,China
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","24,148,598",10.00,10.00,2,,,,China
950699 -- Other,"48,914,881",10.00,10.00,9,,,,China
950710 - Fishing rods,"146,519",10.00,10.00,1,,,,China
"950720 - Fish-hooks, whether or not snelled","539,356",10.00,10.00,1,,,,China
950730 - Fishing reels,"61,822",10.00,10.00,1,,,,China
950790 - Other,"325,001",10.00,10.00,2,,,,China
950810 - Travelling circuses and travelling menageries,"10,397",10.00,10.00,1,,,,China
950890 - Other,"2,822,265",10.00,10.00,1,,,,China
,2014,"412,451,380",9.09,9.09,55,,,,China
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","259,919,441",10.00,10.00,4,,,,China
950420 - Articles and accessories for billiards of all kinds,"611,968",10.00,10.00,1,,,,China
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","737,739",10.00,10.00,1,,,,China
950440 - Playing cards,"2,272,369",10.00,10.00,1,,,,China
"950450 -Video game consoles and machines, other than those of subheading 9504.30","25,650,521",10.00,10.00,1,,,,China
950490 - Other,"6,092,129",10.00,10.00,3,,,,China
950510 - Articles for Christmas festivities,"2,629,215",10.00,10.00,1,,,,China
950590 - Other,"13,045,067",10.00,10.00,2,,,,China
950611 -- Skis,"15,830",0.00,0.00,1,,,,China
950612 -- Ski-fastenings (ski-bindings),"17,648",0.00,0.00,1,,,,China
950619 -- Other,"316,609",0.00,0.00,1,,,,China
950621 -- Sailboards,,0.00,0.00,1,,,,China
950629 -- Other,"469,152",0.00,0.00,1,,,,China
"950631 -- Clubs, complete","1,147,171",10.00,10.00,1,,,,China
950632 -- Balls,"412,866",10.00,10.00,1,,,,China
950639 -- Other,"188,923",10.00,10.00,1,,,,China
950640 - Articles and equipment for table-tennis,"1,466,867",10.00,10.00,1,,,,China
"950651 -- Lawn-tennis rackets, whether or not strung","1,839,385",10.00,10.00,1,,,,China
950659 -- Other,"9,443,252",10.00,10.00,2,,,,China
950661 -- Lawn-tennis balls,"326,104",10.00,10.00,1,,,,China
950662 -- Inflatable,"3,609,731",10.00,10.00,4,,,,China
950669 -- Other,"1,124,443",10.00,10.00,5,,,,China
"950670 - Ice skates and roller skates, including skating boots with skates attached","1,424,890",10.00,10.00,1,,,,China
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","26,505,291",10.00,10.00,2,,,,China
950699 -- Other,"48,783,967",10.00,10.00,9,,,,China
950710 - Fishing rods,"178,713",10.00,10.00,1,,,,China
"950720 - Fish-hooks, whether or not snelled","515,559",10.00,10.00,1,,,,China
950730 - Fishing reels,"115,701",10.00,10.00,1,,,,China
950790 - Other,"374,562",10.00,10.00,2,,,,China
950810 - Travelling circuses and travelling menageries,"3,338",10.00,10.00,1,,,,China
950890 - Other,"3,212,929",10.00,10.00,1,,,,China
