Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"1,211,664,689",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,2.75,2.75,23,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,"Saudi Arabia, Kingdom of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,"Saudi Arabia, Kingdom of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.50,3.50,3,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,,1.56,1.56,5,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,"Saudi Arabia, Kingdom of"
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
880529 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
,2017,"75,463,512",2.80,2.80,23,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,"Saudi Arabia, Kingdom of"
"880211 - - Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,"Saudi Arabia, Kingdom of"
"880212 - - Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","357,933",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","71,169,848",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,3.87,3.87,3,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,"182,241",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,"601,575",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"3,021,562",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,"130,353",1.56,1.56,5,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,"Saudi Arabia, Kingdom of"
880521 - - Air combat simulators and parts thereof,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
880529 - - Other,,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
,2016,"45,945,070",3.07,3.07,21,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","34,269,314",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,"148,105",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,"694,953",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"10,791,544",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,"40,429",1.95,1.95,4,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,55,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,669,2.20,2.20,2,,,,"Saudi Arabia, Kingdom of"
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,"Saudi Arabia, Kingdom of"
880529 -- Other,,1.70,1.70,1,,,,"Saudi Arabia, Kingdom of"
,2015,"6,693,624",3.07,3.07,21,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.","5,235",3.20,3.20,2,,,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","1,881,822",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,4.20,2,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,"503,940",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,"825,932",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"2,931,637",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,"543,106",1.95,1.95,4,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,104,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,"Saudi Arabia, Kingdom of"
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,"Saudi Arabia, Kingdom of"
880529 -- Other,"1,848",1.70,1.70,1,,,,"Saudi Arabia, Kingdom of"
,2014,"32,599,504",3.07,3.07,21,,,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,3.20,2,,,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,7.50,1,,,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","2,149,309",7.70,7.70,1,,,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","26,660,133",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,"142,774",4.20,4.20,2,,,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,"47,342",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,"454,845",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"1,453,804",2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880390 - Other,"1,690,394",1.95,1.95,4,,,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,383,2.70,2.70,1,,,,"Saudi Arabia, Kingdom of"
880510 - Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,,2.20,2.20,2,,,,"Saudi Arabia, Kingdom of"
880521 -- Air combat simulators and parts thereof,,1.70,1.70,1,,,,"Saudi Arabia, Kingdom of"
880529 -- Other,519,1.70,1.70,1,,,,"Saudi Arabia, Kingdom of"
,2013,"44,440,598",3.07,0.00,21,,21,,"Saudi Arabia, Kingdom of"
"880100 Balloons and dirigibles; gliders, hang gliders and other non-powered aircraft.",,3.20,0.00,2,,2,,"Saudi Arabia, Kingdom of"
"880211 -- Of an unladen weight not exceeding 2,000 kg",,7.50,0.00,1,,1,,"Saudi Arabia, Kingdom of"
"880212 -- Of an unladen weight exceeding 2,000 kg",,2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
"880220 - Aeroplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,7.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
"880230 - Aeroplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
"880240 - Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg","39,073,054",2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,4.20,0.00,2,,2,,"Saudi Arabia, Kingdom of"
880310 - Propellers and rotors and parts thereof,"30,465",2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
880320 - Under-carriages and parts thereof,"2,080,279",2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
880330 - Other parts of aeroplanes or helicopters,"3,239,456",2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
880390 - Other,"17,344",1.95,0.00,4,,4,,"Saudi Arabia, Kingdom of"
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,2.70,0.00,1,,1,,"Saudi Arabia, Kingdom of"
