Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
,2016,,16.29,16.29,48,,,,"Saudi Arabia, Kingdom of"
"040110 - Of a fat content, by weight, not exceeding 1 %",,13.00,13.00,2,,,,"Saudi Arabia, Kingdom of"
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,13.00,13.00,2,,,,"Saudi Arabia, Kingdom of"
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,12.67,12.67,3,,,,"Saudi Arabia, Kingdom of"
"040150 - Of a fat content, by weight, exceeding 10 %",,12.67,12.67,3,,,,"Saudi Arabia, Kingdom of"
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,28.00,28.00,2,,,,"Saudi Arabia, Kingdom of"
040221 -- Not containing added sugar or other sweetening matter,,24.00,24.00,3,,,,"Saudi Arabia, Kingdom of"
040229 -- Other,,24.00,24.00,3,,,,"Saudi Arabia, Kingdom of"
040291 -- Not containing added sugar or other sweetening matter,,14.00,14.00,1,,,,"Saudi Arabia, Kingdom of"
040299 -- Other,,28.00,28.00,1,,,,"Saudi Arabia, Kingdom of"
040310 - Yogurt,,16.00,16.00,1,,,,"Saudi Arabia, Kingdom of"
040390 - Other,,16.00,16.00,1,,,,"Saudi Arabia, Kingdom of"
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,28.00,28.00,1,,,,"Saudi Arabia, Kingdom of"
040490 - Other,,14.00,14.00,1,,,,"Saudi Arabia, Kingdom of"
040510 - Butter,,16.00,16.00,1,,,,"Saudi Arabia, Kingdom of"
040520 - Dairy spreads,,16.00,16.00,1,,,,"Saudi Arabia, Kingdom of"
040590 - Other,,16.00,16.00,2,,,,"Saudi Arabia, Kingdom of"
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,22.00,22.00,2,,,,"Saudi Arabia, Kingdom of"
"040620 - Grated or powdered cheese, of all kinds",,16.00,16.00,1,,,,"Saudi Arabia, Kingdom of"
"040630 - Processed cheese, not grated or powdered",,16.00,16.00,1,,,,"Saudi Arabia, Kingdom of"
