Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
European Union,"1,674,288,698",,,,,,,India
,2018,,2.14,0.13,63,,41,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.44,19,,8,,India
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,India
950440 - Playing cards,,2.70,0.00,1,,1,,India
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,India
950490 - Other,,0.00,0.00,2,,,,India
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,India
950590 - Other,,2.70,0.00,1,,1,,India
950611 - - Skis,,3.70,0.00,4,,4,,India
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,India
950619 - - Other,,2.70,0.00,1,,1,,India
950621 - - Sailboards,,2.70,0.00,1,,1,,India
950629 - - Other,,2.70,0.00,1,,1,,India
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,India
950632 - - Balls,,2.70,0.00,1,,1,,India
950639 - - Other,,2.70,0.00,2,,2,,India
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,India
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,India
950659 - - Other,,2.70,0.00,1,,1,,India
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,India
950662 - - Inflatable,,2.70,0.00,1,,1,,India
950669 - - Other,,1.35,0.00,2,,1,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,India
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,India
950699 - - Other,,1.35,0.00,2,,1,,India
950710 - Fishing rods,,3.70,0.00,1,,1,,India
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,India
950730 - Fishing reels,,3.70,0.00,1,,1,,India
950790 - Other,,3.70,0.00,1,,1,,India
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,India
950890 - Other,,1.70,0.00,1,,1,,India
,2017,"118,192,595",2.14,0.13,63,,41,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","32,051,751",1.98,0.44,19,,8,,India
950420 - Articles and accessories for billiards of all kinds,"242,209",0.00,0.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","388,445",0.00,0.00,3,,,,India
950440 - Playing cards,"434,960",2.70,0.00,1,,1,,India
"950450 - Video game consoles and machines, other than those of subheading 9504.30","58,556",0.00,0.00,1,,,,India
950490 - Other,"4,528,778",0.00,0.00,2,,,,India
950510 - Articles for Christmas festivities,"13,867,904",1.35,0.00,2,,1,,India
950590 - Other,"2,634,984",2.70,0.00,1,,1,,India
950611 - - Skis,"35,139",3.70,0.00,4,,4,,India
950612 - - Ski-fastenings (ski-bindings),"31,313",3.70,0.00,1,,1,,India
950619 - - Other,"84,768",2.70,0.00,1,,1,,India
950621 - - Sailboards,"40,213",2.70,0.00,1,,1,,India
950629 - - Other,"1,301,679",2.70,0.00,1,,1,,India
"950631 - - Clubs, complete","17,036",2.70,0.00,1,,1,,India
950632 - - Balls,"58,365",2.70,0.00,1,,1,,India
950639 - - Other,"65,511",2.70,0.00,2,,2,,India
950640 - Articles and equipment for table-tennis,"1,795,659",2.70,0.00,1,,1,,India
"950651 - - Lawn-tennis rackets, whether or not strung","2,502",4.70,0.00,1,,1,,India
950659 - - Other,"73,643",2.70,0.00,1,,1,,India
950661 - - Lawn-tennis balls,"144,965",2.70,0.00,1,,1,,India
950662 - - Inflatable,"10,744,344",2.70,0.00,1,,1,,India
950669 - - Other,"4,907,197",1.35,0.00,2,,1,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached","98,662",1.80,0.00,3,,2,,India
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics","10,076,379",2.70,0.00,2,,2,,India
950699 - - Other,"29,159,357",1.35,0.00,2,,1,,India
950710 - Fishing rods,"15,400",3.70,0.00,1,,1,,India
"950720 - Fish-hooks, whether or not snelled","162,753",2.70,0.00,2,,2,,India
950730 - Fishing reels,"6,031",3.70,0.00,1,,1,,India
950790 - Other,"4,949,511",3.70,0.00,1,,1,,India
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,India
950890 - Other,"214,583",1.70,0.00,1,,1,,India
,2016,"118,632,209",2.17,0.14,62,,41,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","34,828,695",2.09,0.47,18,,8,,India
950420 - Articles and accessories for billiards of all kinds,"159,051",0.00,0.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","251,331",0.00,0.00,3,,,,India
950440 - Playing cards,"536,307",2.70,0.00,1,,1,,India
"950450 -Video game consoles and machines, other than those of subheading 9504.30","593,537",0.00,0.00,1,,,,India
950490 - Other,"4,156,557",0.00,0.00,2,,,,India
950510 - Articles for Christmas festivities,"12,810,855",1.35,0.00,2,,1,,India
950590 - Other,"2,501,458",2.70,0.00,1,,1,,India
950611 -- Skis,"41,693",3.70,0.00,4,,4,,India
950612 -- Ski-fastenings (ski-bindings),108,3.70,0.00,1,,1,,India
950619 -- Other,"41,697",2.70,0.00,1,,1,,India
950621 -- Sailboards,116,2.70,0.00,1,,1,,India
950629 -- Other,"481,946",2.70,0.00,1,,1,,India
"950631 -- Clubs, complete",377,2.70,0.00,1,,1,,India
950632 -- Balls,"53,238",2.70,0.00,1,,1,,India
950639 -- Other,"228,206",2.70,0.00,2,,2,,India
950640 - Articles and equipment for table-tennis,"1,521,299",2.70,0.00,1,,1,,India
"950651 -- Lawn-tennis rackets, whether or not strung","5,171",4.70,0.00,1,,1,,India
950659 -- Other,"112,820",2.70,0.00,1,,1,,India
950661 -- Lawn-tennis balls,"187,202",2.70,0.00,1,,1,,India
950662 -- Inflatable,"12,669,439",2.70,0.00,1,,1,,India
950669 -- Other,"5,022,079",1.35,0.00,2,,1,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached","69,101",1.80,0.00,3,,2,,India
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","7,991,651",2.70,0.00,2,,2,,India
950699 -- Other,"28,052,780",1.35,0.00,2,,1,,India
950710 - Fishing rods,"52,123",3.70,0.00,1,,1,,India
"950720 - Fish-hooks, whether or not snelled","189,117",2.70,0.00,2,,2,,India
950730 - Fishing reels,"3,437",3.70,0.00,1,,1,,India
950790 - Other,"5,145,100",3.70,0.00,1,,1,,India
950810 - Travelling circuses and travelling menageries,333,1.70,0.00,1,,1,,India
950890 - Other,"925,383",1.70,0.00,1,,1,,India
,2015,"116,659,936",2.17,0.14,62,,41,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","31,651,063",2.09,0.47,18,,8,,India
950420 - Articles and accessories for billiards of all kinds,"316,288",0.00,0.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","436,488",0.00,0.00,3,,,,India
950440 - Playing cards,"500,409",2.70,0.00,1,,1,,India
"950450 -Video game consoles and machines, other than those of subheading 9504.30","15,770",0.00,0.00,1,,,,India
950490 - Other,"2,219,715",0.00,0.00,2,,,,India
950510 - Articles for Christmas festivities,"13,479,693",1.35,0.00,2,,1,,India
950590 - Other,"2,713,863",2.70,0.00,1,,1,,India
950611 -- Skis,"24,556",3.70,0.00,4,,4,,India
950612 -- Ski-fastenings (ski-bindings),26,3.70,0.00,1,,1,,India
950619 -- Other,"41,601",2.70,0.00,1,,1,,India
950621 -- Sailboards,,2.70,0.00,1,,1,,India
950629 -- Other,"210,982",2.70,0.00,1,,1,,India
"950631 -- Clubs, complete","1,312",2.70,0.00,1,,1,,India
950632 -- Balls,"38,069",2.70,0.00,1,,1,,India
950639 -- Other,"266,085",2.70,0.00,2,,2,,India
950640 - Articles and equipment for table-tennis,"1,198,200",2.70,0.00,1,,1,,India
"950651 -- Lawn-tennis rackets, whether or not strung","1,923",4.70,0.00,1,,1,,India
950659 -- Other,"23,823",2.70,0.00,1,,1,,India
950661 -- Lawn-tennis balls,"147,757",2.70,0.00,1,,1,,India
950662 -- Inflatable,"16,106,541",2.70,0.00,1,,1,,India
950669 -- Other,"5,991,829",1.35,0.00,2,,1,,India
"950670 - Ice skates and roller skates, including skating boots with skates attached","16,811",1.80,0.00,3,,2,,India
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","8,703,843",2.70,0.00,2,,2,,India
950699 -- Other,"27,397,423",1.35,0.00,2,,1,,India
950710 - Fishing rods,"30,831",3.70,0.00,1,,1,,India
"950720 - Fish-hooks, whether or not snelled","154,557",2.70,0.00,2,,2,,India
950730 - Fishing reels,"4,114",3.70,0.00,1,,1,,India
950790 - Other,"4,567,307",3.70,0.00,1,,1,,India
950810 - Travelling circuses and travelling menageries,109,1.70,0.00,1,,1,,India
950890 - Other,"398,950",1.70,0.00,1,,1,,India
,2014,"111,446,052",2.17,0.14,62,,41,,India
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","27,018,933",2.09,0.47,18,,8,,India
950420 - Articles and accessories for billiards of all kinds,"262,651",0.00,0.00,1,,,,India
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","273,186",0.00,0.00,3,,,,India
950440 - Playing cards,"251,179",2.70,0.00,1,,1,,India
"950450 -Video game consoles and machines, other than those of subheading 9504.30","259,128",0.00,0.00,1,,,,India
950490 - Other,"2,396,729",0.00,0.00,2,,,,India
950510 - Articles for Christmas festivities,"13,650,610",1.35,0.00,2,,1,,India
950590 - Other,"2,299,836",2.70,0.00,1,,1,,India
950611 -- Skis,"59,095",3.70,0.00,4,,4,,India
950612 -- Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,India
950619 -- Other,"56,429",2.70,0.00,1,,1,,India
