Importer,Year,Value,Ad val. duties,Number of lines,Japan
,(US$),Simple average,MFN duties,Pref. duties,Japan
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Japan
European Union,"34,677,673,412",,,,,,,Japan
,2018,,5.48,5.48,210,,,,Japan
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,Japan
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,Japan
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,Japan
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,6.50,1,,,,Japan
390190 - Other,,3.25,3.25,2,,,,Japan
390210 - Polypropylene,,6.50,6.50,1,,,,Japan
390220 - Polyisobutylene,,6.50,6.50,1,,,,Japan
390230 - Propylene copolymers,,6.50,6.50,1,,,,Japan
390290 - Other,,2.17,2.17,3,,,,Japan
390311 - - Expansible,,6.50,6.50,1,,,,Japan
390319 - - Other,,6.50,6.50,1,,,,Japan
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,Japan
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,Japan
390390 - Other,,2.17,2.17,3,,,,Japan
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,Japan
390421 - - Non-plasticised,,6.50,6.50,1,,,,Japan
390422 - - Plasticised,,6.50,6.50,1,,,,Japan
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,Japan
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,Japan
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,Japan
390461 - - Polytetrafluoroethylene,,6.50,6.50,1,,,,Japan
390469 - - Other,,4.33,4.33,3,,,,Japan
390490 - Other,,6.50,6.50,1,,,,Japan
390512 - - In aqueous dispersion,,6.50,6.50,1,,,,Japan
390519 - - Other,,6.50,6.50,1,,,,Japan
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,Japan
390529 - - Other,,6.50,6.50,1,,,,Japan
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,Japan
390591 - - Copolymers,,6.50,6.50,1,,,,Japan
390599 - - Other,,3.25,3.25,2,,,,Japan
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,Japan
390690 - Other,,0.93,0.93,7,,,,Japan
390710 - Polyacetals,,6.50,6.50,1,,,,Japan
390720 - Other polyethers,,4.88,4.88,4,,,,Japan
390730 - Epoxide resins,,6.50,6.50,1,,,,Japan
390740 - Polycarbonates,,6.50,6.50,1,,,,Japan
390750 - Alkyd resins,,6.50,6.50,1,,,,Japan
