Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
080430 - Pineapples,"118,824",5.80,5.80,1,,,,United States of America
080440 - Avocados,"196,793",4.00,4.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens","15,281,597",0.00,0.00,1,,,,United States of America
080510 - Oranges,"278,358",16.00,16.00,4,3,,,United States of America
080521 - - Mandarins (including tangerines and satsumas),"9,197",,,2,2,,,United States of America
080522 - - Clementines,"24,150",,,1,1,,,United States of America
080529 - - Other,"5,809,957",,,1,1,,,United States of America
"080540 - Grapefruit, including pomelos","27,350,709",1.50,1.50,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","248,234",12.80,12.80,2,1,,,United States of America
080590 - Other,"166,842",12.80,12.80,1,,,,United States of America
080610 - Fresh,"13,653,073",14.40,14.40,2,1,,,United States of America
080620 - Dried,"72,683,434",2.40,2.40,3,,,,United States of America
080711 - - Watermelons,"35,878",8.80,8.80,1,,,,United States of America
080719 - - Other,"103,651",8.80,8.80,1,,,,United States of America
080720 - Papaws (papayas),"31,334",0.00,0.00,1,,,,United States of America
080810 - Apples,"3,389,787",,,2,2,,,United States of America
080830 - Pears,"102,206",,,2,2,,,United States of America
080840 - Quinces,"12,671",7.20,7.20,1,,,,United States of America
080910 - Apricots,803,,,1,1,,,United States of America
080921 - - Sour cherries (Prunus cerasus),"24,974",,,1,1,,,United States of America
080929 - - Other,"9,106,360",,,1,1,,,United States of America
"080930 - Peaches, including nectarines","6,147",,,2,2,,,United States of America
080940 - Plums and sloes,"24,899",12.00,12.00,2,1,,,United States of America
081010 - Strawberries,"3,302,547",11.20,11.20,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","939,543",9.20,9.20,2,,,,United States of America
"081030 - Black, white or red currants and gooseberries",578,9.07,9.07,3,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","7,635,320",4.00,4.00,4,,,,United States of America
081050 - Kiwifruit,"10,769",8.80,8.80,1,,,,United States of America
081060 - Durians,54,8.80,8.80,1,,,,United States of America
081070 - Persimmons,,8.80,8.80,1,,,,United States of America
081090 - Other,"154,713",4.40,4.40,2,,,,United States of America
081110 - Strawberries,"753,940",17.60,17.60,3,1,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","31,532",14.67,14.67,7,1,,,United States of America
081190 - Other,"15,894,326",10.75,10.75,10,2,,,United States of America
081210 - Cherries,"51,000",8.80,8.80,1,,,,United States of America
081290 - Other,"4,330",7.16,7.16,5,,,,United States of America
081310 - Apricots,"9,518",5.60,5.60,1,,,,United States of America
081320 - Prunes,"47,579,449",9.60,9.60,1,,,,United States of America
081330 - Apples,"1,102,218",3.20,3.20,1,,,,United States of America
081340 - Other fruit,"2,344,102",3.28,3.28,5,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"585,016",6.86,6.86,7,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","195,942",1.60,1.60,1,,,,United States of America
,2016,"2,882,485,299",6.67,6.67,124,23,,,United States of America
080111 -- Desiccated,"83,134",0.00,0.00,1,,,,United States of America
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,United States of America
080119 -- Other,"47,587",0.00,0.00,1,,,,United States of America
080121 -- In shell,,0.00,0.00,1,,,,United States of America
080122 -- Shelled,191,0.00,0.00,1,,,,United States of America
080131 -- In shell,"5,446",0.00,0.00,1,,,,United States of America
080132 -- Shelled,"1,782,517",0.00,0.00,1,,,,United States of America
080211 -- In shell,"10,048,241",2.80,2.80,2,,,,United States of America
080212 -- Shelled,"1,617,940,996",1.75,1.75,2,,,,United States of America
080221 -- In shell,"2,889,936",3.20,3.20,1,,,,United States of America
080222 -- Shelled,"203,051",3.20,3.20,1,,,,United States of America
080231 -- In shell,"122,390,355",4.00,4.00,1,,,,United States of America
