Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
Brazil,"4,085,784,796",,,,,,,"Korea, Republic of"
,2018,,10.82,10.82,318,,,,"Korea, Republic of"
390110 - Polyethylene having a specific gravity of less than 0.94,,14.00,14.00,3,,,,"Korea, Republic of"
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,"Korea, Republic of"
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,"Korea, Republic of"
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,14.00,14.00,1,,,,"Korea, Republic of"
390190 - Other,,8.00,8.00,6,,,,"Korea, Republic of"
390210 - Polypropylene,,14.00,14.00,2,,,,"Korea, Republic of"
390220 - Polyisobutylene,,14.00,14.00,1,,,,"Korea, Republic of"
390230 - Propylene copolymers,,14.00,14.00,1,,,,"Korea, Republic of"
390290 - Other,,14.00,14.00,1,,,,"Korea, Republic of"
390311 - - Expansible,,14.00,14.00,2,,,,"Korea, Republic of"
390319 - - Other,,14.00,14.00,1,,,,"Korea, Republic of"
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,"Korea, Republic of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,"Korea, Republic of"
390390 - Other,,10.00,10.00,3,,,,"Korea, Republic of"
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,"Korea, Republic of"
390421 - - Non-plasticised,,14.00,14.00,1,,,,"Korea, Republic of"
390422 - - Plasticised,,14.00,14.00,1,,,,"Korea, Republic of"
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,"Korea, Republic of"
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,"Korea, Republic of"
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,"Korea, Republic of"
390461 - - Polytetrafluoroethylene,,2.00,2.00,2,,,,"Korea, Republic of"
390469 - - Other,,2.00,2.00,2,,,,"Korea, Republic of"
390490 - Other,,14.00,14.00,1,,,,"Korea, Republic of"
390512 - - In aqueous dispersion,,14.00,14.00,1,,,,"Korea, Republic of"
390519 - - Other,,14.00,14.00,2,,,,"Korea, Republic of"
390521 - - In aqueous dispersion,,14.00,14.00,1,,,,"Korea, Republic of"
390529 - - Other,,14.00,14.00,1,,,,"Korea, Republic of"
