Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
European Union,"1,312,567,729,110",,,,,,,China
,2018,,2.39,2.39,498,,,,China
850110 - Motors of an output not exceeding 37.5 W,,3.20,3.20,4,,,,China
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,2.70,2.70,1,,,,China
850131 - - Of an output not exceeding 750 W,,2.70,2.70,1,,,,China
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,2.70,1,,,,China
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,2.70,2.70,1,,,,China
850134 - - Of an output exceeding 375 kW,,2.70,2.70,1,,,,China
"850140 - Other AC motors, single-phase",,2.70,2.70,2,,,,China
850151 - - Of an output not exceeding 750 W,,2.70,2.70,1,,,,China
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,2.70,2.70,3,,,,China
850153 - - Of an output exceeding 75 kW,,2.70,2.70,4,,,,China
850161 - - Of an output not exceeding 75 kVA,,2.70,2.70,2,,,,China
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,2.70,1,,,,China
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,2.70,2.70,1,,,,China
850164 - - Of an output exceeding 750 kVA,,2.70,2.70,1,,,,China
850211 - - Of an output not exceeding 75 kVA,,2.70,2.70,2,,,,China
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,2.70,2.70,1,,,,China
850213 - - Of an output exceeding 375 kVA,,2.70,2.70,3,,,,China
850220 - Generating sets with spark-ignition internal combustion piston engines,,2.70,2.70,4,,,,China
850231 - - Wind-powered,,2.70,2.70,1,,,,China
850239 - - Other,,2.70,2.70,2,,,,China
850240 - Electric rotary converters,,2.70,2.70,1,,,,China
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,2.70,2.70,3,,,,China
850410 - Ballasts for discharge lamps or tubes,,3.70,3.70,2,,,,China
850421 - - Having a power handling capacity not exceeding 650 kVA,,3.70,3.70,1,,,,China
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,3.70,3.70,2,,,,China
