Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
Brazil,"1,737,709,181",,,,,,,India
,2018,,11.99,11.99,654,,,,India
850110 - Motors of an output not exceeding 37.5 W,,14.40,14.40,5,,,,India
850120 - Universal AC/DC motors of an output exceeding 37.5 W,,18.00,18.00,1,,,,India
850131 - - Of an output not exceeding 750 W,,18.00,18.00,2,,,,India
850132 - - Of an output exceeding 750 W but not exceeding 75 kW,,18.00,18.00,2,,,,India
850133 - - Of an output exceeding 75 kW but not exceeding 375 kW,,14.00,14.00,2,,,,India
850134 - - Of an output exceeding 375 kW,,9.33,9.33,3,,,,India
"850140 - Other AC motors, single-phase",,16.00,16.00,4,,,,India
850151 - - Of an output not exceeding 750 W,,14.00,14.00,3,,,,India
850152 - - Of an output exceeding 750 W but not exceeding 75 kW,,14.00,14.00,3,,,,India
850153 - - Of an output exceeding 75 kW,,10.50,10.50,4,,,,India
850161 - - Of an output not exceeding 75 kVA,,14.00,14.00,1,,,,India
850162 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,1,,,,India
850163 - - Of an output exceeding 375 kVA but not exceeding 750 kVA,,14.00,14.00,1,,,,India
850164 - - Of an output exceeding 750 kVA,,14.00,14.00,1,,,,India
850211 - - Of an output not exceeding 75 kVA,,14.00,14.00,2,,,,India
850212 - - Of an output exceeding 75 kVA but not exceeding 375 kVA,,14.00,14.00,2,,,,India
850213 - - Of an output exceeding 375 kVA,,14.00,14.00,3,,,,India
850220 - Generating sets with spark-ignition internal combustion piston engines,,9.33,9.33,3,,,,India
850231 - - Wind-powered,,0.00,0.00,1,,,,India
850239 - - Other,,0.00,0.00,1,,,,India
850240 - Electric rotary converters,,14.00,14.00,2,,,,India
850300 Parts suitable for use solely or principally with the machines of heading 85.01 or 85.02.,,14.00,14.00,2,,,,India
850410 - Ballasts for discharge lamps or tubes,,18.00,18.00,1,,,,India
850421 - - Having a power handling capacity not exceeding 650 kVA,,14.00,14.00,1,,,,India
"850422 - - Having a power handling capacity exceeding 650 kVA but not exceeding 10,000 kVA",,14.00,14.00,1,,,,India
"850423 - - Having a power handling capacity exceeding 10,000 kVA",,14.00,14.00,1,,,,India
850431 - - Having a power handling capacity not exceeding 1 kVA,,14.40,14.40,5,,,,India
850432 - - Having a power handling capacity exceeding 1 kVA but not exceeding 16 kVA,,18.00,18.00,4,,,,India
850433 - - Having a power handling capacity exceeding 16 kVA but not exceeding 500 kVA,,14.00,14.00,1,,,,India
850434 - - Having a power handling capacity exceeding 500 kVA,,14.00,14.00,1,,,,India
850440 - Static converters,,16.22,16.22,9,,,,India
850450 - Other inductors,,18.00,18.00,1,,,,India
850490 - Parts,,15.20,15.20,5,,,,India
850511 - - Of metal,,16.00,16.00,1,,,,India
850519 - - Other,,16.00,16.00,2,,,,India
"850520 - Electro-magnetic couplings, clutches and brakes",,7.00,7.00,2,,,,India
"850590 - Other, including parts",,14.67,14.67,3,,,,India
