Importer,Year,Value,Ad val. duties,Number of lines,Ukraine
,(US$),Simple average,MFN duties,Pref. duties,Ukraine
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Ukraine
European Union,"472,241,975",,,,,,,Ukraine
,2018,,5.34,0.22,171,162,74,,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",,,,4,4,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Ukraine
"040150 - Of a fat content, by weight, exceeding 10 %",,,,6,6,,,Ukraine
"040210 - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %",,,,4,4,,,Ukraine
040221 - - Not containing added sugar or other sweetening matter,,,,4,4,,,Ukraine
040229 - - Other,,,,5,5,,,Ukraine
040291 - - Not containing added sugar or other sweetening matter,,,,6,6,,,Ukraine
040299 - - Other,,,,5,5,,,Ukraine
040310 - Yogurt,,,,12,12,,,Ukraine
040390 - Other,,,,18,18,,,Ukraine
"040410 - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter",,,0.00,24,24,24,,Ukraine
040490 - Other,,,,6,6,,,Ukraine
040510 - Butter,,,,5,5,,,Ukraine
040520 - Dairy spreads,,,,3,3,,,Ukraine
040590 - Other,,,,2,2,,,Ukraine
"040610 - Fresh (unripened or uncured) cheese, including whey cheese, and curd",,,0.00,3,3,3,,Ukraine
"040620 - Grated or powdered cheese, of all kinds",,,0.00,1,1,1,,Ukraine
"040630 - Processed cheese, not grated or powdered",,,0.00,4,4,4,,Ukraine
040640 - Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti,,,0.00,3,3,3,,Ukraine
040690 - Other cheese,,,0.00,32,32,32,,Ukraine
040711 - - Of fowls of the species Gallus domesticus,,,0.00,1,1,1,,Ukraine
040719 - - Other,,7.70,0.00,3,2,3,,Ukraine
040721 - - Of fowls of the species Gallus domesticus,,,,1,1,,,Ukraine
040729 - - Other,,7.70,0.00,2,1,1,,Ukraine
040790 - Others,,7.70,0.00,2,1,1,,Ukraine
040811 - - Dried,,0.00,0.00,2,1,,,Ukraine
040819 - - Other,,0.00,0.00,3,2,,,Ukraine
040891 - - Dried,,0.00,0.00,2,1,,,Ukraine
040899 - - Other,,0.00,0.00,2,1,,,Ukraine
040900 Natural honey.,,17.30,17.30,1,,,,Ukraine
"041000 Edible products of animal origin, not elsewhere specified or included.",,7.70,0.00,1,,1,,Ukraine
,2017,"104,429,127",6.54,0.43,177,167,88,14,Ukraine
"040110 - Of a fat content, by weight, not exceeding 1 %",,,,2,2,,,Ukraine
"040120 - Of a fat content, by weight, exceeding 1 % but not exceeding 6 %",60,,,4,4,,,Ukraine
"040140 - Of a fat content, by weight, exceeding 6 % but not exceeding 10 %",,,,2,2,,,Ukraine
