Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
European Union,"124,037,755",,,,,,,South Africa
,2018,,2.14,0.00,63,,41,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,1.98,0.00,19,,8,,South Africa
950420 - Articles and accessories for billiards of all kinds,,0.00,0.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,0.00,0.00,3,,,,South Africa
950440 - Playing cards,,2.70,0.00,1,,1,,South Africa
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,0.00,0.00,1,,,,South Africa
950490 - Other,,0.00,0.00,2,,,,South Africa
950510 - Articles for Christmas festivities,,1.35,0.00,2,,1,,South Africa
950590 - Other,,2.70,0.00,1,,1,,South Africa
950611 - - Skis,,3.70,0.00,4,,4,,South Africa
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,South Africa
950619 - - Other,,2.70,0.00,1,,1,,South Africa
950621 - - Sailboards,,2.70,0.00,1,,1,,South Africa
950629 - - Other,,2.70,0.00,1,,1,,South Africa
"950631 - - Clubs, complete",,2.70,0.00,1,,1,,South Africa
950632 - - Balls,,2.70,0.00,1,,1,,South Africa
950639 - - Other,,2.70,0.00,2,,2,,South Africa
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,South Africa
"950651 - - Lawn-tennis rackets, whether or not strung",,4.70,0.00,1,,1,,South Africa
950659 - - Other,,2.70,0.00,1,,1,,South Africa
950661 - - Lawn-tennis balls,,2.70,0.00,1,,1,,South Africa
950662 - - Inflatable,,2.70,0.00,1,,1,,South Africa
950669 - - Other,,1.35,0.00,2,,1,,South Africa
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,South Africa
"950691 - - Articles and equipment for general physical exercise, gymnastics or athletics",,2.70,0.00,2,,2,,South Africa
950699 - - Other,,1.35,0.00,2,,1,,South Africa
950710 - Fishing rods,,3.70,0.00,1,,1,,South Africa
"950720 - Fish-hooks, whether or not snelled",,2.70,0.00,2,,2,,South Africa
950730 - Fishing reels,,3.70,0.00,1,,1,,South Africa
950790 - Other,,3.70,0.00,1,,1,,South Africa
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,South Africa
950890 - Other,,1.70,0.00,1,,1,,South Africa
,2017,"7,316,688",2.14,0.00,63,,41,,South Africa
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","647,358",1.98,0.00,19,,8,,South Africa
950420 - Articles and accessories for billiards of all kinds,"7,798",0.00,0.00,1,,,,South Africa
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","1,610,058",0.00,0.00,3,,,,South Africa
950440 - Playing cards,"23,995",2.70,0.00,1,,1,,South Africa
"950450 - Video game consoles and machines, other than those of subheading 9504.30","1,033,108",0.00,0.00,1,,,,South Africa
950490 - Other,"270,560",0.00,0.00,2,,,,South Africa
950510 - Articles for Christmas festivities,"317,996",1.35,0.00,2,,1,,South Africa
950590 - Other,"57,696",2.70,0.00,1,,1,,South Africa
950611 - - Skis,186,3.70,0.00,4,,4,,South Africa
950612 - - Ski-fastenings (ski-bindings),,3.70,0.00,1,,1,,South Africa
950619 - - Other,424,2.70,0.00,1,,1,,South Africa
950621 - - Sailboards,"135,493",2.70,0.00,1,,1,,South Africa
950629 - - Other,"2,219,174",2.70,0.00,1,,1,,South Africa
"950631 - - Clubs, complete","11,468",2.70,0.00,1,,1,,South Africa
950632 - - Balls,"35,974",2.70,0.00,1,,1,,South Africa
950639 - - Other,"10,171",2.70,0.00,2,,2,,South Africa
950640 - Articles and equipment for table-tennis,"3,827",2.70,0.00,1,,1,,South Africa
"950651 - - Lawn-tennis rackets, whether or not strung",115,4.70,0.00,1,,1,,South Africa
950659 - - Other,880,2.70,0.00,1,,1,,South Africa
