Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
European Union,"30,884,553,721",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,5.48,5.48,210,,,,"Saudi Arabia, Kingdom of"
390110 - Polyethylene having a specific gravity of less than 0.94,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
390120 - Polyethylene having a specific gravity of 0.94 or more,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
390130 - Ethylene-vinyl acetate copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390190 - Other,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
390210 - Polypropylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390220 - Polyisobutylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390230 - Propylene copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390290 - Other,,2.17,2.17,3,,,,"Saudi Arabia, Kingdom of"
390311 - - Expansible,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390319 - - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390390 - Other,,2.17,2.17,3,,,,"Saudi Arabia, Kingdom of"
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390421 - - Non-plasticised,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390422 - - Plasticised,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390440 - Other vinyl chloride copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390450 - Vinylidene chloride polymers,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
390461 - - Polytetrafluoroethylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390469 - - Other,,4.33,4.33,3,,,,"Saudi Arabia, Kingdom of"
390490 - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390512 - - In aqueous dispersion,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390519 - - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390521 - - In aqueous dispersion,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390529 - - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390591 - - Copolymers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390599 - - Other,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
390610 - Poly(methyl methacrylate),,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390690 - Other,,0.93,0.93,7,,,,"Saudi Arabia, Kingdom of"
390710 - Polyacetals,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390720 - Other polyethers,,4.88,4.88,4,,,,"Saudi Arabia, Kingdom of"
390730 - Epoxide resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390740 - Polycarbonates,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390750 - Alkyd resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390761 - - Having a viscosity number of 78 ml/g or higher,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390769 - - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390770 - Poly(lactic acid),,0.00,0.00,1,,,,"Saudi Arabia, Kingdom of"
390791 - - Unsaturated,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
390799 - - Other,,3.27,3.27,3,,,,"Saudi Arabia, Kingdom of"
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390890 - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390910 - Urea resins; thiourea resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390920 - Melamine resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390939 - - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390940 - Phenolic resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390950 - Polyurethanes,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
391000 Silicones in primary forms.,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391190 - Other,,3.30,3.30,5,,,,"Saudi Arabia, Kingdom of"
391211 - - Non-plasticised,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391212 - - Plasticised,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391220 - Cellulose nitrates (including collodions),,6.33,6.33,3,,,,"Saudi Arabia, Kingdom of"
391231 - - Carboxymethylcellulose and its salts,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391239 - - Other,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
391290 - Other,,6.45,6.45,2,,,,"Saudi Arabia, Kingdom of"
"391310 - Alginic acid, its salts and esters",,5.00,5.00,1,,,,"Saudi Arabia, Kingdom of"
391390 - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391510 - Of polymers of ethylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391520 - Of polymers of styrene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391530 - Of polymers of vinyl chloride,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391590 - Of other plastics,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
391610 - Of polymers of ethylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391620 - Of polymers of vinyl chloride,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391690 - Of other plastics,,6.50,6.50,3,,,,"Saudi Arabia, Kingdom of"
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,5.90,5.90,2,,,,"Saudi Arabia, Kingdom of"
391721 - - Of polymers of ethylene,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
391722 - - Of polymers of propylene,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
391723 - - Of polymers of vinyl chloride,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
391729 - - Of other plastics,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391739 - - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391740 - Fittings,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391810 - Of polymers of vinyl chloride,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
391890 - Of other plastics,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
391910 - In rolls of a width not exceeding 20 cm,,6.35,6.35,4,,,,"Saudi Arabia, Kingdom of"
391990 - Other,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
392010 - Of polymers of ethylene,,4.64,4.64,7,,,,"Saudi Arabia, Kingdom of"
392020 - Of polymers of propylene,,6.50,6.50,3,,,,"Saudi Arabia, Kingdom of"
392030 - Of polymers of styrene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392043 - - Containing by weight not less than 6 % of plasticisers,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
392049 - - Other,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
392051 - - Of poly(methyl methacrylate),,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392059 - - Other,,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
392061 - - Of polycarbonates,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392062 - - Of poly(ethylene terephthalate),,4.33,4.33,3,,,,"Saudi Arabia, Kingdom of"
392063 - - Of unsaturated polyesters,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392069 - - Of other polyesters,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392071 - - Of regenerated cellulose,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392073 - - Of cellulose acetate,,6.40,6.40,2,,,,"Saudi Arabia, Kingdom of"
392079 - - Of other cellulose derivatives,,6.10,6.10,2,,,,"Saudi Arabia, Kingdom of"
392091 - - Of poly(vinyl butyral),,6.10,6.10,1,,,,"Saudi Arabia, Kingdom of"
392092 - - Of polyamides,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392093 - - Of amino-resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392094 - - Of phenolic resins,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392099 - - Of other plastics,,3.25,3.25,6,,,,"Saudi Arabia, Kingdom of"
392111 - - Of polymers of styrene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392112 - - Of polymers of vinyl chloride,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392113 - - Of polyurethanes,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
392114 - - Of regenerated cellulose,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392119 - - Of other plastics,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392190 - Other,,6.50,6.50,8,,,,"Saudi Arabia, Kingdom of"
"392210 - Baths, shower-baths, sinks and wash-basins",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392220 - Lavatory seats and covers,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392290 - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"392310 - Boxes, cases, crates and similar articles",,3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
392321 - - Of polymers of ethylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392329 - - Of other plastics,,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
"392330 - Carboys, bottles, flasks and similar articles",,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
"392340 - Spools, cops, bobbins and similar supports",,5.90,5.90,2,,,,"Saudi Arabia, Kingdom of"
"392350 - Stoppers, lids, caps and other closures",,6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
392390 - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392410 - Tableware and kitchenware,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392490 - Other,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"392520 - Doors, windows and their frames and thresholds for doors",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392590 - Other,,6.50,6.50,3,,,,"Saudi Arabia, Kingdom of"
392610 - Office or school supplies,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"392630 - Fittings for furniture, coachwork or the like",,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392640 - Statuettes and other ornamental articles,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
392690 - Other,,6.50,6.50,3,,,,"Saudi Arabia, Kingdom of"
,2017,"2,484,893,561",5.49,5.49,210,,,,"Saudi Arabia, Kingdom of"
390110 - Polyethylene having a specific gravity of less than 0.94,"745,668,674",6.50,6.50,2,,,,"Saudi Arabia, Kingdom of"
390120 - Polyethylene having a specific gravity of 0.94 or more,"673,454,478",3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
390130 - Ethylene-vinyl acetate copolymers,"13,045,164",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94","236,203,081",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390190 - Other,"33,406,839",3.25,3.25,2,,,,"Saudi Arabia, Kingdom of"
390210 - Polypropylene,"474,241,449",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390220 - Polyisobutylene,,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390230 - Propylene copolymers,"61,841,646",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390290 - Other,"31,822",2.17,2.17,3,,,,"Saudi Arabia, Kingdom of"
390311 - - Expansible,"50,200",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390319 - - Other,"11,955,032",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390320 - Styrene-acrylonitrile (SAN) copolymers,177,6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"3,983,961",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
390390 - Other,91,2.17,2.17,3,,,,"Saudi Arabia, Kingdom of"
"390410 - Poly(vinyl chloride), not mixed with any other substances","153,315",6.50,6.50,1,,,,"Saudi Arabia, Kingdom of"
