Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
India,"1,246,892",,,,,,,"Saudi Arabia, Kingdom of"
,2018,,20.00,20.00,55,,,,"Saudi Arabia, Kingdom of"
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.",,20.00,20.00,4,,,,"Saudi Arabia, Kingdom of"
950420 - Articles and accessories for billiards of all kinds,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment",,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950440 - Playing cards,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
"950450 - Video game consoles and machines, other than those of subheading 9504.30",,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950490 - Other,,20.00,20.00,3,,,,"Saudi Arabia, Kingdom of"
950510 - Articles for Christmas festivities,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950590 - Other,,20.00,20.00,2,,,,"Saudi Arabia, Kingdom of"
950611 - - Skis,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950612 - - Ski-fastenings (ski-bindings),,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950619 - - Other,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950621 - - Sailboards,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950629 - - Other,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
"950631 - - Clubs, complete",,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950632 - - Balls,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950639 - - Other,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950640 - Articles and equipment for table-tennis,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
"950651 - - Lawn-tennis rackets, whether or not strung",,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950659 - - Other,,20.00,20.00,2,,,,"Saudi Arabia, Kingdom of"
950661 - - Lawn-tennis balls,,20.00,20.00,1,,,,"Saudi Arabia, Kingdom of"
950662 - - Inflatable,,20.00,20.00,4,,,,"Saudi Arabia, Kingdom of"
950669 - - Other,,20.00,20.00,5,,,,"Saudi Arabia, Kingdom of"
