Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
India,"780,395,369",,,,,,,China
,2018,,38.17,38.17,103,2,,,China
080111 - - Desiccated,,70.00,70.00,1,,,,China
080112 - - In the inner shell (endocarp),,70.00,70.00,3,,,,China
080119 - - Other,,70.00,70.00,3,,,,China
080121 - - In shell,,30.00,30.00,1,,,,China
080122 - - Shelled,,30.00,30.00,1,,,,China
080131 - - In shell,,30.00,30.00,1,,,,China
080132 - - Shelled,,30.00,30.00,3,,,,China
080211 - - In shell,,,,1,1,,,China
080212 - - Shelled,,,,1,1,,,China
080221 - - In shell,,30.00,30.00,1,,,,China
080222 - - Shelled,,30.00,30.00,1,,,,China
080231 - - In shell,,30.00,30.00,1,,,,China
080232 - - Shelled,,30.00,30.00,1,,,,China
080241 - - In shell,,30.00,30.00,1,,,,China
080242 - - Shelled,,30.00,30.00,1,,,,China
080251 - - In shell,,30.00,30.00,1,,,,China
080252 - - Shelled,,30.00,30.00,1,,,,China
080261 - - In shell,,30.00,30.00,1,,,,China
080262 - - Shelled,,30.00,30.00,1,,,,China
080270 - Kola nuts (Cola spp.),,30.00,30.00,1,,,,China
080280 - Areca nuts,,100.00,100.00,4,,,,China
080290 - Other,,100.00,100.00,1,,,,China
080310 - Plantains,,30.00,30.00,2,,,,China
080390 - Other,,30.00,30.00,2,,,,China
080410 - Dates,,30.00,30.00,4,,,,China
080420 - Figs,,30.00,30.00,2,,,,China
080430 - Pineapples,,30.00,30.00,1,,,,China
080440 - Avocados,,30.00,30.00,1,,,,China
"080450 - Guavas, mangoes and mangosteens",,30.00,30.00,5,,,,China
080510 - Oranges,,40.00,40.00,1,,,,China
080521 - - Mandarins (including tangerines and satsumas),,30.00,30.00,1,,,,China
080522 - - Clementines,,30.00,30.00,1,,,,China
080529 - - Other,,30.00,30.00,1,,,,China
"080540 - Grapefruit, including pomelos",,25.00,25.00,1,,,,China
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)",,40.00,40.00,1,,,,China
080590 - Other,,30.00,30.00,1,,,,China
080610 - Fresh,,40.00,40.00,1,,,,China
080620 - Dried,,105.00,105.00,2,,,,China
080711 - - Watermelons,,30.00,30.00,1,,,,China
080719 - - Other,,30.00,30.00,1,,,,China
080720 - Papaws (papayas),,30.00,30.00,1,,,,China
080810 - Apples,,50.00,50.00,1,,,,China
080830 - Pears,,35.00,35.00,1,,,,China
080840 - Quinces,,35.00,35.00,1,,,,China
080910 - Apricots,,30.00,30.00,1,,,,China
080921 - - Sour cherries (Prunus cerasus),,30.00,30.00,1,,,,China
080929 - - Other,,30.00,30.00,1,,,,China
"080930 - Peaches, including nectarines",,30.00,30.00,1,,,,China
080940 - Plums and sloes,,25.00,25.00,1,,,,China
