Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
European Union,"297,586",,,,,,,Albania
,2018,,6.84,1.30,44,39,12,,Albania
170112 - - Beet sugar,,,,2,2,,,Albania
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Albania
170114 - - Other cane sugar,,,,2,2,,,Albania
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Albania
170199 - - Other,,,,2,2,,,Albania
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Albania
170219 - - Other,,,,1,1,,,Albania
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Albania
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Albania
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Albania
170250 - Chemically pure fructose,,,,1,1,,,Albania
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Albania
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,Albania
170310 - Cane molasses,,0.00,0.00,1,,,,Albania
170390 - Other,,0.00,0.00,1,,,,Albania
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Albania
170490 - Other,,13.40,0.00,10,9,10,,Albania
,2017,902,6.84,1.30,44,39,12,,Albania
170112 - - Beet sugar,,,,2,2,,,Albania
170113 - - Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Albania
170114 - - Other cane sugar,,,,2,2,,,Albania
170191 - - Containing added flavouring or colouring matter,,,,1,1,,,Albania
170199 - - Other,,,,2,2,,,Albania
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Albania
170219 - - Other,,,,1,1,,,Albania
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Albania
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Albania
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Albania
170250 - Chemically pure fructose,,,,1,1,,,Albania
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Albania
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,Albania
170310 - Cane molasses,,0.00,0.00,1,,,,Albania
170390 - Other,,0.00,0.00,1,,,,Albania
"170410 - Chewing gum, whether or not sugar-coated",,,0.00,2,2,2,,Albania
170490 - Other,902,13.40,0.00,10,9,10,,Albania
,2016,"269,304",6.84,1.30,44,39,12,,Albania
170112 -- Beet sugar,,,,2,2,,,Albania
170113 -- Cane sugar specified in Subheading Note 2 to this Chapter,,,,2,2,,,Albania
170114 -- Other cane sugar,,,,2,2,,,Albania
170191 -- Containing added flavouring or colouring matter,,,,1,1,,,Albania
170199 -- Other,"263,308",,,2,2,,,Albania
"170211 -- Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter",,,,1,1,,,Albania
170219 -- Other,,,,1,1,,,Albania
170220 - Maple sugar and maple syrup,,8.00,8.00,2,1,,,Albania
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose",,,,3,3,,,Albania
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose, excluding invert sugar",,,,2,2,,,Albania
170250 - Chemically pure fructose,,,,1,1,,,Albania
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose, excluding invert sugar",,,,3,3,,,Albania
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50 % by weight of fructose",,12.80,12.80,8,7,,,Albania
