Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
Brazil,"8,083,720,804",,,,,,,China
,2018,,10.82,10.82,318,,,,China
390110 - Polyethylene having a specific gravity of less than 0.94,,14.00,14.00,3,,,,China
390120 - Polyethylene having a specific gravity of 0.94 or more,,8.00,8.00,4,,,,China
390130 - Ethylene-vinyl acetate copolymers,,14.00,14.00,2,,,,China
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",,14.00,14.00,1,,,,China
390190 - Other,,8.00,8.00,6,,,,China
390210 - Polypropylene,,14.00,14.00,2,,,,China
390220 - Polyisobutylene,,14.00,14.00,1,,,,China
390230 - Propylene copolymers,,14.00,14.00,1,,,,China
390290 - Other,,14.00,14.00,1,,,,China
390311 - - Expansible,,14.00,14.00,2,,,,China
390319 - - Other,,14.00,14.00,1,,,,China
390320 - Styrene-acrylonitrile (SAN) copolymers,,14.00,14.00,1,,,,China
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,14.00,14.00,2,,,,China
390390 - Other,,10.00,10.00,3,,,,China
"390410 - Poly(vinyl chloride), not mixed with any other substances",,14.00,14.00,3,,,,China
390421 - - Non-plasticised,,14.00,14.00,1,,,,China
390422 - - Plasticised,,14.00,14.00,1,,,,China
390430 - Vinyl chloride-vinyl acetate copolymers,,14.00,14.00,1,,,,China
390440 - Other vinyl chloride copolymers,,14.00,14.00,2,,,,China
390450 - Vinylidene chloride polymers,,2.00,2.00,2,,,,China
390461 - - Polytetrafluoroethylene,,2.00,2.00,2,,,,China
390469 - - Other,,2.00,2.00,2,,,,China
390490 - Other,,14.00,14.00,1,,,,China
390512 - - In aqueous dispersion,,14.00,14.00,1,,,,China
390519 - - Other,,14.00,14.00,2,,,,China
390521 - - In aqueous dispersion,,14.00,14.00,1,,,,China
390529 - - Other,,14.00,14.00,1,,,,China
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,2.00,2.00,1,,,,China
390591 - - Copolymers,,8.00,8.00,2,,,,China
390599 - - Other,,4.50,4.50,4,,,,China
390610 - Poly(methyl methacrylate),,14.00,14.00,1,,,,China
390690 - Other,,9.33,9.33,18,,,,China
390710 - Polyacetals,,8.67,8.67,9,,,,China
390720 - Other polyethers,,8.67,8.67,9,,,,China
390730 - Epoxide resins,,14.00,14.00,5,,,,China
390740 - Polycarbonates,,8.00,8.00,2,,,,China
390750 - Alkyd resins,,14.00,14.00,2,,,,China
390761 - - Having a viscosity number of 78 ml/g or higher,,14.00,14.00,1,,,,China
390769 - - Other,,14.00,14.00,1,,,,China
390770 - Poly(lactic acid),,14.00,14.00,1,,,,China
390791 - - Unsaturated,,14.00,14.00,1,,,,China
390799 - - Other,,6.00,6.00,9,,,,China
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12",,6.80,6.80,10,,,,China
390890 - Other,,6.00,6.00,3,,,,China
390910 - Urea resins; thiourea resins,,14.00,14.00,1,,,,China
390920 - Melamine resins,,14.00,14.00,4,,,,China
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)",,14.00,14.00,1,,,,China
390939 - - Other,,14.00,14.00,1,,,,China
390940 - Phenolic resins,,14.00,14.00,4,,,,China
390950 - Polyurethanes,,9.20,9.20,5,,,,China
391000 Silicones in primary forms.,,9.50,9.50,8,,,,China
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,10.00,10.00,3,,,,China
391190 - Other,,5.69,5.69,13,,,,China
391211 - - Non-plasticised,,5.00,5.00,2,,,,China
391212 - - Plasticised,,2.00,2.00,1,,,,China
391220 - Cellulose nitrates (including collodions),,14.00,14.00,3,,,,China
391231 - - Carboxymethylcellulose and its salts,,14.00,14.00,4,,,,China
391239 - - Other,,2.00,2.00,4,,,,China
391290 - Other,,10.00,10.00,6,,,,China
"391310 - Alginic acid, its salts and esters",,2.00,2.00,1,,,,China
391390 - Other,,4.67,4.67,9,,,,China
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,2.00,2.00,3,,,,China
391510 - Of polymers of ethylene,,14.00,14.00,1,,,,China
391520 - Of polymers of styrene,,14.00,14.00,1,,,,China
391530 - Of polymers of vinyl chloride,,14.00,14.00,1,,,,China
391590 - Of other plastics,,14.00,14.00,1,,,,China
391610 - Of polymers of ethylene,,16.00,16.00,1,,,,China
391620 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,China
391690 - Of other plastics,,16.00,16.00,2,,,,China
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,,6.67,6.67,3,,,,China
391721 - - Of polymers of ethylene,,16.00,16.00,1,,,,China
391722 - - Of polymers of propylene,,16.00,16.00,1,,,,China
391723 - - Of polymers of vinyl chloride,,16.00,16.00,1,,,,China
391729 - - Of other plastics,,16.00,16.00,1,,,,China
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",,16.00,16.00,1,,,,China
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings",,12.50,12.50,8,,,,China
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings",,16.00,16.00,1,,,,China
391739 - - Other,,16.00,16.00,1,,,,China
391740 - Fittings,,8.00,8.00,2,,,,China
391810 - Of polymers of vinyl chloride,,16.00,16.00,1,,,,China
391890 - Of other plastics,,16.00,16.00,1,,,,China
391910 - In rolls of a width not exceeding 20 cm,,16.00,16.00,3,,,,China
391990 - Other,,16.00,16.00,3,,,,China
392010 - Of polymers of ethylene,,6.67,6.67,3,,,,China
392020 - Of polymers of propylene,,9.00,9.00,4,,,,China
392030 - Of polymers of styrene,,16.00,16.00,1,,,,China
392043 - - Containing by weight not less than 6 % of plasticisers,,16.00,16.00,2,,,,China
392049 - - Other,,16.00,16.00,1,,,,China
392051 - - Of poly(methyl methacrylate),,16.00,16.00,1,,,,China
392059 - - Other,,16.00,16.00,1,,,,China
392061 - - Of polycarbonates,,16.00,16.00,1,,,,China
392062 - - Of poly(ethylene terephthalate),,12.50,12.50,4,,,,China
392063 - - Of unsaturated polyesters,,16.00,16.00,1,,,,China
392069 - - Of other polyesters,,16.00,16.00,1,,,,China
392071 - - Of regenerated cellulose,,16.00,16.00,1,,,,China
392073 - - Of cellulose acetate,,16.00,16.00,2,,,,China
392079 - - Of other cellulose derivatives,,9.00,9.00,2,,,,China
392091 - - Of poly(vinyl butyral),,2.00,2.00,1,,,,China
392092 - - Of polyamides,,16.00,16.00,1,,,,China
392093 - - Of amino-resins,,16.00,16.00,1,,,,China
392094 - - Of phenolic resins,,16.00,16.00,1,,,,China
392099 - - Of other plastics,,9.00,9.00,6,,,,China
392111 - - Of polymers of styrene,,16.00,16.00,1,,,,China
392112 - - Of polymers of vinyl chloride,,16.00,16.00,1,,,,China
392113 - - Of polyurethanes,,9.00,9.00,2,,,,China
392114 - - Of regenerated cellulose,,16.00,16.00,1,,,,China
392119 - - Of other plastics,,16.00,16.00,1,,,,China
392190 - Other,,9.00,9.00,6,,,,China
"392210 - Baths, shower-baths, sinks and wash-basins",,18.00,18.00,1,,,,China
392220 - Lavatory seats and covers,,18.00,18.00,1,,,,China
392290 - Other,,18.00,18.00,1,,,,China
"392310 - Boxes, cases, crates and similar articles",,18.00,18.00,2,,,,China
392321 - - Of polymers of ethylene,,18.00,18.00,2,,,,China
392329 - - Of other plastics,,18.00,18.00,2,,,,China
"392330 - Carboys, bottles, flasks and similar articles",,18.00,18.00,1,,,,China
"392340 - Spools, cops, bobbins and similar supports",,18.00,18.00,1,,,,China
"392350 - Stoppers, lids, caps and other closures",,18.00,18.00,1,,,,China
392390 - Other,,18.00,18.00,1,,,,China
392410 - Tableware and kitchenware,,18.00,18.00,1,,,,China
392490 - Other,,18.00,18.00,1,,,,China
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",,18.00,18.00,1,,,,China
"392520 - Doors, windows and their frames and thresholds for doors",,18.00,18.00,1,,,,China
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",,18.00,18.00,1,,,,China
392590 - Other,,18.00,18.00,2,,,,China
392610 - Office or school supplies,,18.00,18.00,1,,,,China
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)",,18.00,18.00,1,,,,China
"392630 - Fittings for furniture, coachwork or the like",,18.00,18.00,1,,,,China
392640 - Statuettes and other ornamental articles,,18.00,18.00,1,,,,China
392690 - Other,,12.22,12.22,9,,,,China
,2017,"825,179,441",10.96,10.96,313,,,,China
390110 - Polyethylene having a specific gravity of less than 0.94,"334,797",14.00,14.00,3,,,,China
390120 - Polyethylene having a specific gravity of 0.94 or more,"1,391,387",8.00,8.00,4,,,,China
